series,edition,page,table,chapter,block,region,matched_by,col_idx,x,raw,value,conf,flag,row_text
광공업,1972,175,87. 시ㆍ도별 광업 및 제조업 총괄,VIII. 광업 및 제조업,전체,전국,ko,0,0.2875,25 636 825 453 325 972 684,25636825453325972684,1.0,과병합의심,전 국 Whole Country 25 636 825 453 325 972 684 26 676 901 787 453 871 400 25 816 937 650 588 249 859
광공업,1972,175,87. 시ㆍ도별 광업 및 제조업 총괄,VIII. 광업 및 제조업,전체,전국,ko,1,0.5031,26 676 901 787 453 871 400 25 816 937 650 588 249 859,2667690178745387140025816937650588249859,0.5,과병합의심,전 국 Whole Country 25 636 825 453 325 972 684 26 676 901 787 453 871 400 25 816 937 650 588 249 859
광공업,1972,175,87. 시ㆍ도별 광업 및 제조업 총괄,VIII. 광업 및 제조업,전체,전국,ko,0,0.2957,1 549,1549,0.5,,전 국 Whole Country 1 549 77 269 24 539 293 1 577 72 821 27 840 967 1 702 76 609 38 456 535
광공업,1972,175,87. 시ㆍ도별 광업 및 제조업 총괄,VIII. 광업 및 제조업,전체,전국,ko,1,0.3552,77 269 24 539 293,7726924539293,1.0,과병합의심,전 국 Whole Country 1 549 77 269 24 539 293 1 577 72 821 27 840 967 1 702 76 609 38 456 535
광공업,1972,175,87. 시ㆍ도별 광업 및 제조업 총괄,VIII. 광업 및 제조업,전체,전국,ko,2,0.5113,1 577,1577,1.0,,전 국 Whole Country 1 549 77 269 24 539 293 1 577 72 821 27 840 967 1 702 76 609 38 456 535
광공업,1972,175,87. 시ㆍ도별 광업 및 제조업 총괄,VIII. 광업 및 제조업,전체,전국,ko,3,0.5688,72 821 27 840 967,7282127840967,0.5,과병합의심,전 국 Whole Country 1 549 77 269 24 539 293 1 577 72 821 27 840 967 1 702 76 609 38 456 535
광공업,1972,175,87. 시ㆍ도별 광업 및 제조업 총괄,VIII. 광업 및 제조업,전체,전국,ko,4,0.7248,1 702,1702,0.3,저신뢰,전 국 Whole Country 1 549 77 269 24 539 293 1 577 72 821 27 840 967 1 702 76 609 38 456 535
광공업,1972,175,87. 시ㆍ도별 광업 및 제조업 총괄,VIII. 광업 및 제조업,전체,전국,ko,5,0.7844,76 609 38 456 535,7660938456535,1.0,과병합의심,전 국 Whole Country 1 549 77 269 24 539 293 1 577 72 821 27 840 967 1 702 76 609 38 456 535
광공업,1972,175,87. 시ㆍ도별 광업 및 제조업 총괄,VIII. 광업 및 제조업,전체,전국,ko,0,0.2895,24087,24087,0.3,저신뢰,전 국 Whote Country 24087 •748 184 301 433 391 25 098 828 966 426 030 433 24 114 861 041 549 793 324
광공업,1972,175,87. 시ㆍ도별 광업 및 제조업 총괄,VIII. 광업 및 제조업,전체,전국,ko,1,0.5031,25 098,25098,1.0,,전 국 Whote Country 24087 •748 184 301 433 391 25 098 828 966 426 030 433 24 114 861 041 549 793 324
광공업,1972,175,87. 시ㆍ도별 광업 및 제조업 총괄,VIII. 광업 및 제조업,전체,전국,ko,2,0.5626,828 966 426 030 433,828966426030433,1.0,과병합의심,전 국 Whote Country 24087 •748 184 301 433 391 25 098 828 966 426 030 433 24 114 861 041 549 793 324
광공업,1972,175,87. 시ㆍ도별 광업 및 제조업 총괄,VIII. 광업 및 제조업,전체,전국,ko,3,0.7207,24 114 861 041 549 793 324,24114861041549793324,0.5,과병합의심,전 국 Whote Country 24087 •748 184 301 433 391 25 098 828 966 426 030 433 24 114 861 041 549 793 324
광공업,1973,173,87. 시ㆍ도별 광업 및 제조업 총괄,VIII. 광업 및 제조업,전체,전남,ko,0,0.2977,3 493,3493,1.0,,전 라 남 도 Jeonra Nam Do 3 493 54 159 21 040 569 3 478 52 617 3 598 55 295 47 668 398
광공업,1973,173,87. 시ㆍ도별 광업 및 제조업 총괄,VIII. 광업 및 제조업,전체,전남,ko,1,0.3532,54 159,54159,1.0,,전 라 남 도 Jeonra Nam Do 3 493 54 159 21 040 569 3 478 52 617 3 598 55 295 47 668 398
광공업,1973,173,87. 시ㆍ도별 광업 및 제조업 총괄,VIII. 광업 및 제조업,전체,전남,ko,2,0.4127,21 040 569,21040569,1.0,,전 라 남 도 Jeonra Nam Do 3 493 54 159 21 040 569 3 478 52 617 3 598 55 295 47 668 398
광공업,1973,173,87. 시ㆍ도별 광업 및 제조업 총괄,VIII. 광업 및 제조업,전체,전남,ko,3,0.5133,3 478,3478,1.0,,전 라 남 도 Jeonra Nam Do 3 493 54 159 21 040 569 3 478 52 617 3 598 55 295 47 668 398
