계열,판,쪽,표제목,header
광공업,1972,175,87. 시ㆍ도별 광업 및 제조업 총괄,"Mining and Manufacturing-173 ⏐ 87. 시 •도 별광업 및 제조업 총 괄 ⏐ SUMMARY of MINING and MANUFACTURING by PROVINCE ⏐ 단위 : 1000원 In thousand won ⏐ 1 9 6 8 1 9 6 9 1970 ⏐ 사업체 종업원 • 부가가치 사업체 ,종업원 1 부가가치 사업체 종 업 원 . 부가가치 ⏐ Establish- Workers Valve cdded Estobltsh- Workers Value added Establish~ Workers Value added ⏐ 광업 • 채석업 및 제조업 MINING, QUARRYING and MANUFACTURING ⏐ 전 국 Whole Country 25 636 825 453 325 972 684 26 676 901 787 453 871 400 25 816 937 650 588 249 859 ⏐ City of Seoul 6 127 260 922 101 304 004 6 496 279 362 143 417 421 5 773 294 516 183 854 347 ⏐ Busan City | 939 129 358 44 991 008 2 168 141 132 57 914 187 2 087 137 654 82 353 119 ⏐ 경길도 Gyeong-gl Do 2 367 77 154 35 170 885 2 432 94 123 45 372 489 2 465 111 441 62 947 935"
광공업,1973,173,87. 시ㆍ도별 광업 및 제조업 총괄,"Mining and Manvfactoring -178 ⏐ 87. 시 •도별광업및제조업총괄 ⏐ SUMMARY of MINING and MANUFACTURING by PROVINCE ⏐ 본표는 공공업통계조사 지료이며 부가가치는 Daia are darived fron the annual mining ond manufacturig survay ⏐ 셀서스부가가치를 의미함. and accordingly value added refers to consus value added ⏐ 단위 : 1000원 In thousand won ⏐ 1 9 6 9 1970 ⏐ 사 업 체 1종업원 [부가가치 사업체 종업원 부가가치 사업체 종 업 원 부가가치 ⏐ Workers Yalue added Workers Value added Workers Value added ⏐ 광업 •채석업 및 제조업 MINING, QUARRYING and MANUFACTURING ⏐ 국 Whole counitry 26 675 901 787 453 871 400 25 816 937 650 588 249 859 24 963 923 237 733 104 384 ⏐ 서울풀별시 Buano Cihgou 2 128 3R 38금 143617 48 5 7 5 834 381 135 240543 208"
광공업,1974,131,72. 시ㆍ도별 광업 및 제조업 총괄,"Mining and Manufacturing -131 ⏐ 72. 시 •도별광업및제조업총 괄 ⏐ SUMMARY of MINING and MANUFACTURING by PROVINCE ⏐ X분교는 광긍업통계조시 자료이며 부기가치는 ⏐ 신거스부가가치를 의미함. ⏐ 단위 : 내만원 In mllon won ⏐ 19 70 1971 1972 ⏐ 사 업 체 종업원 부가가치 사 업 채 종업일 부가가치 사 업체 종업윈 | 부가가치 ⏐ Establish- Estoblish- Establish- ⏐ ments Wcikers Valuo added ment Workers Valve addedi ment Werkers volue added ⏐ 광업 •채석업및 제조업 MINING, QUARRYING and MANUFACTURING ⏐ 전국 Wro'e country 25 816 937 650 588 250 24 963 923 237 733 104 25 248 1 045 201 942 426"
광공업,1975,135,72. 시ㆍ도별 광업 및 제조업 총괄,"Mining and Manufacturing-133 ⏐ 72. 시 •도별광업 및 제조업종괄 ⏐ SUMMARY of MINING and MANUFACTURING by PROVINCES ⏐ ※※* 본표는 광공업통계조사 자료이며 부가가치는 ※ Data are derived From the annual mning and monufacturing survey and accordingly ⏐ 센서스부가가치를 의미힘 value added refers to census value added ⏐ 단위 :백만원 In mllon won ⏐ 1971 197 2 197 3 ⏐ 사업체 종업원 | 부각간치 사업처 종 업 원 부가가치 사업체종업원' 부가가치 ⏐ Establish- Value Establish- Value Establlsh- Value ⏐ ment Workers added ment Workers added ment Workers added ⏐ 광업 • 채석업 및 제조업 MINING, QUARRYING and MANUFACTURING ⏐ 전 국 whole Country 24 963 923 237 733 104 25 248 1 045 201 942 426 24 881 1 227 566 1 436 151"
광공업,1976,134,73. 시ㆍ도별 광ㆍ공업 총괄,"132-광 •공업 ⏐ 73. 시 •도별광 •공업총괄 ⏐ ※ 본표 계수는 광 •공업 통계 조사(센서스)결과임, 산업상의 조사범위는 한국표준 연간급여액은 봉급, 임금, 상여금, 작종수당, 생계보조금동을 포함. 생산비란 인건 ⏐ 산업분류에서 규정하는 광업과 제조업이며 조사대싱업제는 상기분류에서 정의히는 비를 제외한 주요생산비이며 운임을 포함한 구입가격임. 출하액은 완제품출하액, 페 ⏐ 종업원수 5인이상의 광업및 제조업에 속하는 사업제임. 조사단위는 원칙적으로 사 품판매액, 수탁제조 및 수리수입액의 합계임. 생산액은 출하액에서 완제품 및 반제 ⏐ 업치로하였으며 사업체라함은 개개의 공장, 작업장, 사무소, 점포, 광산과 같이 경 품과 재공품의 연조, 연말 재고액의 증감액을 가감한것을 말함. 부가가치는 생산액 ⏐ 제활동을 영위하는 물리적 장소를 말함. 종업원이란 사업제에 상시 고용되어 있는 에서 직접 생산비를 공제한것을 말하며 감가상자비, 내국소비세액 및 간접생산비률 ⏐ 자와 임시종업원으로서 그월의 조업일수의 반수 이상을 근무한자 및 기타종업원을 재고액은 사업체의 소유에속하는 완제품, 반제품, 재공품, 원재료 및 연료의 ⏐ 말함. ⏐ 단위 -금액 : 100만원 ⏐ 사업체 종업원 부가가치 사업체 종업원 부가가치 사업체 종업원 부가가치 ⏐ Value"
광공업,1977,155,82. 시ㆍ도별 광ㆍ공업총괄,"Mining and Manuf acturing-155 ⏐ 82. 시 •도별광 •공업총괄 ⏐ Summary of Mining ond Manufacturing by Province ⏐ ※ 본표 계수는 광 •공업 통계 조사(센서스)결과임• ※Data are based on the Mining and ⏐ 산업상의 조사범위는 한국표준 산업분류에서 규정하는 광업과 제조 The Survey (Census)covers industrles classified into mning and manufac- ⏐ 업이며 조사대상업체는 상기분류에서 정의하는 종업원수 5일이상의 turing according to Korean Standard Industrial Classification and the mining ⏐ 광업및 제조업에 속하는 사업체임• and manufacturing establishments with five or ⏐ 조사단위는 원칙적으로 사업체로하였으며 사업체라함은 개개의 공 unit engaging in industrial activities such as factory, ment is a unit of the Survey (Census). The term S a ⏐ 장, 작업장, 사무소, 점포, 광산과 같이 경제활동을 영위하는 물리적 mine.Employees are Workers who are remunerated wages and ⏐ 장소를 말함. regardless whether they are, permanent, temporariy,.of ⏐ 종업원이란 사업체에 상시 고용되어 있는 자와 임시종업원및 기타 kers and whether they work in ⏐ 종업원을 말함. subsidies for living Production costs refer to direct charges actually paid hohuses."
광공업,1978,159,82. 시ㆍ도별 광ㆍ공업 총괄,"Mining and Marufacturing-159 ⏐ 82. 시 •도별광 •공업총괄 ⏐ Summary of Mining and Manufacturing by Province ⏐ ※ 본표 계수는 광 • 공업 통계 조사(센서스)결과임. ※ Data are based on the Mining and Manufacturing ⏐ 산업상의 조사범위는 한국표준 산업분류에서 규정하는 광 The Survey (Census) covers industries classified into ⏐ 업과 제조업이며 조사대상업체는 상기분류에서 정의하는 종 mining and manufacturing according to Korean Standard Industrial Classification and the ⏐ 업원수 5인이상의 광업 및 제조업에 속하는 사업체임. with five or more workers. Establishment is a unit of the Survey ⏐ 조사단위는 원칙적으로 사업체로하였으며 사업체라함은 개 (Census). The term ""establishment” is a unit engaging in indu- ⏐ 개의 공창, 작업장, 사무소, 점포, 광산과 같이 경제활동을 strial activities such as factory, work shop office and mine. ⏐ Employees are workers who are remunerated wages.and salaries, ⏐ 영위하는 물리적 장소를 말함. regardless Whether they are permanent, ⏐ 종업원이란 사업체에 상시 고용되어 있는 자와 임시종업원 daily workers and whother they work in factories or in"
광공업,1979,155,82. 시ㆍ도별 광ㆍ공업총괄,"Aining and Mamufacturing-155 ⏐ 82. 시 •도별 광 • 공업종괄 ⏐ Summary of Mining and Manufacturing oy Province ⏐ ※ 본표 제수는 광•공업 통계 조사(센서스)결과임. ※ Data are based on the Mining and Manufacturing Survey ⏐ 산업상의 조사범위는 한국표준 산업분류에서 규정하는 광 (Census). The Survey (Censusl covers industries classified into ⏐ 업과 제조업이며 조사대상업체는 상기분류에서 정의하는 종 mining and manufacturing according to Korean Standard Industrial ⏐ 업원수 5인이상의 광업 및 제조업에 속하는 사업체임• Classification and the mining and manufacturing establishments ⏐ with five or more workers. Establishment is a unit of the Survey ⏐ 조사단위는 원칙적으로 사업체로하였으며 사업체라함은 (Census). The term ""establishment"" is a unit ongaging in indu- ⏐ 개개의 공장, 작업장, 사무소, 점포, 광산과 같이 경제활 strial activities such as factory, work shop office and mine. ⏐ 동을 영위하는 물리적 장소를 말함. Employees are workers who are remunerated wages and salaries, ⏐ 종업원이란 사업체에 상시 고용되어 있는 자와 임시종업 whether they are permanent, temporary 이 casual daily"
광공업,1980,153,81. 시ㆍ도별 광ㆍ공업총괄,"Mining and Manufacturing-153 ⏐ ※ 본표 계수는 광 •공업 통계 조사(센서스)결과임• ※ Data are based on the Mining and Manufacturing Survey (Census). ⏐ 산업상의 조사범위는 한국표준 산업분류에서 The Survey (Census) covers industries classified into mining and ⏐ manufacturing according to Korean Standard Industrial Classificarion ⏐ 업원수 5인이상의 광업 및 제조업에 속하는 사업체임. and the minng and manufacturing establishmenis with five or more ⏐ vorkers Estdblishment is a unit of the Survey(Censush. The term ⏐ establishment” is a unit engaging in industrial activities such as ⏐ factory, work shop office and mine Employees are workers who ⏐ 영위하는 물리적 장소를 말함. are remunerated wages and salaries, whether they are permanent, ⏐ temporary or casual daily workers ana whether they Work ⏐ 원 및 기타종업원을 말함. factories or in ther hore. Employees remunerafion includes salaries, ⏐ wages, bonuses, various allowances and subsidies for living."
광공업,1981,161,1. 시ㆍ도별 광ㆍ공업총괄,"V. Mining and Manufacturing • 161 ⏐ 1. 시 •도별 광•공업 총괄 ⏐ Summary of M ining and Manufacturing by Province ⏐ ※본표기수는 광 • 공업통계조사(서스),전과임, ※ Data are based on the Mining and Manufacturing Survey(Census). The ⏐ Survey(Census) covers industries cla ssified into mining and manufac- ⏐ 이며 조사대상업채는 상기분류에서 정외하는 종업원수 5 인이상외 turing according to Korean Standard Industrial Clessification and the ⏐ 업 및 제조업에 속하는 사업제임, mining and manufacturing establishments with five or more workers. ⏐ ※사단위는 사치전 표사 업지를 하여으게 사용거다 있음 건 거요니 패 Establishment is a urit of the Survey(Census). The term""establish- ⏐ 잠 ment""is a unit encaging in industrial activiies such as factorv. work ⏐ 장소를 말함 shop office and mine. Empbyzes are workers who are remunerated ⏐ 종업원이란 사업제에 상시 고용되어 있는 자와 임시종업원 및 기타 wages and salaries, whether they are permanent, temporary or ca- ⏐ 종업원을 말함. sual daily workers and whether they work in factories or in their home."
