series,edition,page,table,header
면적,1959,34,2. 대한민국의 면적 및 행정구역일람,"2 ⏐ 1. £ ⏐ LAND ⏐ 1. 치분페의쇼 Location of Repubic of Korea ⏐ Extreme of longitude and latitude ⏐ 솎 Name of place E는 Extreme ⏐ 참초 : 원쪽 131 520 220 ⏐ Bastern extremity East extreme of Dogdo, Uilurg Gim, Gyeongsangbugdo East 1ongitude ⏐ ₩ H* 1240 110 0 ⏐ Western extremity West extreme of Ma-ando, Yongcheon Ghut, Pyeonganbugdo East longttude듔얧 ⏐ 332 080 400 ⏐ Southe:n extremity North latitcde얧"
면적,1960,63,18. 대한민국의 면적 및 행정구역일람,"± 번_! ⏐ £ 뾰 ⏐ LAND ⏐ 16. ㅊ롯의쇼물 Location of the Republic of Korea ⏐ Extreme of longitude and latitude ⏐ Name of place 초도 ft Extreme ⏐ Bast axtreme of Dokdo, Uteung Ciu, Cyeongsangougdo #과* 햇 음은 131° 52 22 ⏐ Eastern extremity East longitude ⏐ ㄿ 5 앞쪽 124° 11° 0” ⏐ Western extremity East longitude듔 ⏐ #, * 33° 06' 40' ⏐ Southern extremity North latitude"
면적,1963,19,3. 구ㆍ시ㆍ군별 면적 및 행정구역,"Land 1 ⏐ Iㅗ ⏐ LAND ⏐ 1묘 똩 ⏐ LOCATTON ⏐ 하 모 및 유분의 견 Extireme of longitude and latitude ⏐ g Name of place Extreme ⏐ 1310 52' 22"" ⏐ Eastern extremity East exrame of Dokdo, UIreung gun, Gyeongsaing bug do East longitude얧 ⏐ ㅝ☆#차짧시해동# .. 1240 |]' ""'! ⏐ Western extramty West exirame of Ma-ando, Yongcheon gun, Pyaongan bug ao East longifude옓 ⏐ 파 Souit otrenc ol Mareed, Nameiu-gun, Jou co 노력게철 과 짧 330 06' 40"""
면적,1964,19,3. 구ㆍ시ㆍ군별 면적 및 행정구역,"Land 1 ⏐ I £ ⏐ LAND ⏐ 1 싶 ⏐ LOCATION ⏐ 유 는 및 ※후뜻의 표 Extreme of langitude and Iairiude ⏐ A Name of place 목 Extreme ⏐ Eost aateme of Dokae, ureung-gun, oyeon B.ong-bug co 쿄 # 뚫 1310 52' 2?"" ⏐ Eastern extremty ⏐ 주☆# 할뺨느 랙 # 유쪽 124° 11' 0"" ⏐ Western extremiy East longitude ⏐ 호# * 330 06' 40"""
면적,1965,19,"3. 구, 시, 군별 면적 및 행정구역","Land 1 ⏐ [± ⏐ LAND ⏐ I ⏐ LOCATION ⏐ 제진 및 있분의 종t Exromo of longiude and laiiude ⏐ A Name ol plaes 부너 Exieno ⏐ 챠ㆅ 초 131° 52' 2?"" ⏐ Eosiem exlrenilty ⏐ 주 뜻 * 청포 124° |' ⏐ Wostern oxtremlly Wort exlremo ol Ma.ando, Yongcheon-gun, Pyeongan-bug-de • Easl longiluda ⏐ 불 벽 39° 0&' 40”"
면적,1966,19,"3. 구, 시, 군별 면적 및 행정구역","Iand 1 ⏐ I 뵨 ⏐ LAND ⏐ 1 표 ⏐ LOCATION ⏐ Ehreme of fanaitudo and lotmic. ⏐ Name of place Extreme ⏐ 파* # 뚫 유론 131° 52' 22"" ⏐ Eastern extremty East longutude ⏐ ㄸ 제쪽 1240 11' 0” ⏐ Western extremity West extreme of Ma ando, Yongcheon gun, Pyeongan-bug do East longitude ⏐ Saohon oxromty # 화세개 쫘 속 는 뿍 해 춰 . 까 S 33 06' 40"""
면적,1967,19,3. 구ㆍ시ㆍ군별 면적 및 행정구역,"도서관 장세 ⏐ Land 1 ⏐ I. 소 ⏐ LAND ⏐ 1 4 ⏐ LOCATION ⏐ 및 의 ⏐ Extreme of longitude and latitude ⏐ 쏩 ⏐ Name of place Extreme ⏐ 제조초 말는 백 뚫 음은 1310 52' 42"" ⏐ Eastern extemity Ecst extreme of rokdo, Ulreung Gun Gyeongsangbug Do"
면적,1968,19,3. 구ㆍ시ㆍ군별 면적 및 행정구역,"5A ; tand ⏐ I.± 변 ⏐ LAND ⏐ 1 k ⏐ LOCATION ⏐ . ⏐ Name of place extrame ⏐ FEoten otromh) 딩 : 1310 52' 42"" ⏐ East longltude ⏐ #☆##패드랙트 품 1240 |} ⏐ Westextreme of Maando, Yongcheon Gun, pyeonganbug Do East longitude ⏐ # *후 330 06' 40^"
면적,1969,19,3. 구ㆍ시ㆍ군별 면적 및 행정구역,"대한민국 국회 ⏐ 도서 장세 ⏐ 토 지 ⏐ I ⏐ LAND ⏐ 1 위 치 ⏐ LOCATION ⏐ 경 도 점 ⏐ '지 극 점 ⏐ Name of place exileme ⏐ 극 동 동 판 52' 42"" ⏐ Eastern extremlty"
면적,1970,21,3. 구ㆍ시ㆍ군별 면적 및 행정구역,"(대한민국...회 ⏐ 도서관 장서 ⏐ I 토 지 ⏐ LAND ⏐ 1 위 치 ⏐ LOCATON ⏐ 경 도 밎 의 극 점 ⏐ 지 극 점 ⏐ Name or place Exvleme ⏐ 경상북도 울릉군 1310 52' 427 ⏐ 평안북도 용천군 마안도 서단 동 124° 11/ o"" ⏐ Wesi extrema of Mia-ando Yong Cheon Gun, Pyeonganbug Do"
면적,1972,21,2. 시ㆍ도별 면적 및 행정단위,"대한민국 국회 ⏐ 도서관 장서 Land-19 ⏐ 1. 위 치 ⏐ . ⏐ LOCATION ⏐ 경 토 위 도 의 극 점 ⏐ Extreme of longitude and latttude ⏐ 지 명 극 점 ⏐ Nama of place Extreme ⏐ 경상북도 울릉군 독도 동 131° 52 42"" ⏐ ast exrteme of Dokdo, Uireung Gum, Gyeongsang Bug D ⏐ 평안북도 용천군 마안도 서단 124° 11' 0r"
면적,1972,22,3. 구ㆍ시ㆍ군별 면적 및 행정단위,20--토지 ⏐ 3. 구•시 •군별 면적 및 행정단위 ⏐ ※ 1971. 12. 31 현재 ⏐ 면 적 1km리) 행 정 단 위 Adminstrative unit ⏐ 동 Dong 리•동 R•Dong 통•부라 출장소 Branch of ⏐ 행 정법정 읍 면 행 정 |법 정 반 ⏐ Area 비 %을 Admnsi_ Adminis- Tong* 시•도 구·시군읍.면 ⏐ (sq.km) Legal Eub Myeon tratrve Legal Village Ban Province Gu•si•Gun Eub• Myeon ⏐ 서울특별시 City of Seoul 613. 04 100. 0 307 465 ㅡ 5 532 47 782 8 ⏐ 10. 68 1.7 25 73 265 1 916 ⏐ 7 Jung Gu 6.34 1.0 21 65 195 1 272 ⏐ 통대문구 Dongdaemin Gu 31 28 5.1 34 24 - 671 6 184
면적,1973,21,2. 시ㆍ도별 면적 및 행정단위,"l.and-19 ⏐ 1. 위 ⏐ LOCATION ⏐ 경 도 Petomo o fdomaiudo crne botudce 의 극 점 ⏐ 지 명 극 점 ⏐ Name of place Extreme ⏐ 극 동 경상북도 울릉군 독도 동단 131° 52/ 42 ⏐ Eastern extremiy East extrame of Dokdo, Ulreung Gun, Gyeongsang Bue Do ⏐ 평안북도 용천군 마안도 서단 Eets longituc s 동 124° 11° 04 ⏐ West extrame of Marando, Yongcheon Gun, Pyeongan Bue Do ⏐ Suhom otrent, 남 제주도 남제주군 , 마라도. . 남단 33° 06 40% ⏐ South extreme of Marado, Namieiu Gun, Jeiu Do"
