번호,개념,한 줄 뜻(대표 문헌),격자 힌트(시간 / 스케일)
1,내재적 발전론,조선 후기 자생적 근대의 동력을 찾는다(김용섭),조선 후기 / 국가·지역
2,식민지 근대화론,식민지기 제도·시장 성장이 고도성장의 기반(안병직·이영훈),식민지 / 국가
3,식민지 근대성,"식민주의·근대성·민족주의가 얽혀 주체를 만든다(신기욱·로빈슨, 김진균·정근식)",식민지 / 국가·신체
4,회색지대,협력/저항으로 나뉘지 않는 일상 영역(윤해동),식민지 / 지역·신체
5,소농사회론,조선 후기는 맹아가 아니라 소농사회(미야지마),조선 후기 / 지역
6,압축근대,수백 년의 변동을 수십 년에(장경섭),개발연대 / 국가·신체
7,중층·복합근대,근대성은 여러 층이 겹쳐 형성(김상준·권용혁),전 시기 / 글로벌·국가
8,발전국가,관료 자율성·산업정책·지배연합(김윤태·김동노),개발연대 / 국가
9,'사회'의 탄생,1890년대 번역어의 정착(박명규),조선 후기~식민지 / 국가·지역
10,시민사회,강한 국가–약한 시민사회의 형성(이혜숙),해방~현재 / 국가
11,규율권력·통치성,"학교·병원·호적·통계로 만든 근대 주체(김진균·정근식, 박명규·서호철)",식민지~개발연대 / 국가·신체
12,가족주의,압축근대의 미시 기초: 전통인가 근대의 산물인가(조은·장현섭),전 시기 / 신체·일상
13,젠더,근대성은 젠더화되어 구성(김수진·박정미),식민지~현재 / 신체
14,인구·등록,"센서스·호적·주민등록은 통치 기술(박명규·서호철, 김영미)",식민지~현재 / 국가·신체
15,로컬리티,로컬은 안팎 주체의 활동으로 구성(박규택),현재 / 지역
16,지역사,절편화 비판: 지역은 중앙과의 관계 속에(이훈상),조선 후기~현재 / 지역
17,식민지 도시성,감시 장치·제국의 극장·정체성 정치의 장(김백영),식민지 / 지역·신체
18,동아시아·트랜스내셔널,"분단체제·안보분업(정영신), 제국–식민지 비교(문명기)",해방~현재 / 글로벌
19,기억·과거청산,"깊이의 민주화(정근식), 기억전쟁(최정기)",해방~현재 / 지역·신체
20,일상·감각,"두부의 신선함, 똥오줌의 쓸모, 24시간 시대(소준철·김학선)",개발연대~현재 / 신체·일상
