연도,국가,국가코드,도시인구비율_퍼센트,지표코드,source_url,retrieved
1960,한국,KOR,27.6858239622977,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1961,한국,KOR,28.4487165107257,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1962,한국,KOR,29.2335073020446,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1963,한국,KOR,30.0578676824386,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1964,한국,KOR,30.9563602392687,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1965,한국,KOR,31.9635475598961,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1966,한국,KOR,33.1034551656567,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1967,한국,KOR,34.5588302969076,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1968,한국,KOR,36.5332576645622,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1969,한국,KOR,38.7099888112837,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
