연도,국가,국가코드,1인당GDP_2015불변USD,지표코드,source_url,retrieved
1960,한국,KOR,1037.72899231615,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1961,한국,KOR,1077.10464038579,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1962,한국,KOR,1087.79362228726,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1963,한국,KOR,1153.23486916692,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1964,한국,KOR,1229.36998908154,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1965,한국,KOR,1286.16625407866,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1966,한국,KOR,1404.83811121824,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1967,한국,KOR,1498.01049644544,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1968,한국,KOR,1657.18854005249,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1969,한국,KOR,1856.48418780744,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1970,한국,KOR,2001.04656436772,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1971,한국,KOR,2170.9646968132,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1972,한국,KOR,2286.93666830827,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1973,한국,KOR,2583.31158461691,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
1974,한국,KOR,2784.47241806545,NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/NY.GDP.PCAP.KD?format=json&per_page=300&date=1960:2024,2026-08-19
