연도,국가,국가코드,합계출산율_명,지표코드,source_url,retrieved
1960,한국,KOR,5.994,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1961,한국,KOR,5.803,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1962,한국,KOR,5.562,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1963,한국,KOR,5.334,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1964,한국,KOR,5.068,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1965,한국,KOR,4.887,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1966,한국,KOR,4.782,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1967,한국,KOR,4.615,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1968,한국,KOR,4.51,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1969,한국,KOR,4.447,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1970,한국,KOR,4.53,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1971,한국,KOR,4.54,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1972,한국,KOR,4.12,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1973,한국,KOR,4.07,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1974,한국,KOR,3.77,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1975,한국,KOR,3.43,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1976,한국,KOR,3,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1977,한국,KOR,2.99,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1978,한국,KOR,2.64,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1979,한국,KOR,2.9,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1980,한국,KOR,2.82,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1981,한국,KOR,2.57,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1982,한국,KOR,2.39,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1983,한국,KOR,2.06,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1984,한국,KOR,1.74,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1985,한국,KOR,1.66,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1986,한국,KOR,1.58,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1987,한국,KOR,1.53,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1988,한국,KOR,1.55,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1989,한국,KOR,1.56,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
1990,한국,KOR,1.57,SP.DYN.TFRT.IN,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.DYN.TFRT.IN?format=json&per_page=300&date=1960:2024,2026-08-19
