연도,전국,서울,경기,인천,수도권,수도권비중_퍼센트,출처,retrieved
1970,32241,5686,3440,,9126,28.31,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1971,32883,5940,3571,,9511,28.92,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1972,33505,6207,3703,,9910,29.58,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1973,34103,6470,3836,,10306,30.22,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1974,34692,6738,3970,,10708,30.87,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1975,35281,7005,4106,,11111,31.49,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1976,35849,7301,4282,,11583,32.31,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1977,36412,7599,4461,,12060,33.12,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1978,36969,7900,4644,,12544,33.93,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1979,37534,8205,4832,,13037,34.73,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1980,38124,8516,5028,,13544,35.53,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1981,38723,8796,3876,1315,13987,36.12,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1982,39326,9059,4023,1366,14447,36.74,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1983,39910,9317,4247,1412,14977,37.53,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1984,40406,9559,4480,1474,15514,38.4,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1985,40806,9725,4697,1541,15963,39.12,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1986,41214,9815,5001,1593,16409,39.81,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1987,41622,9932,5291,1647,16870,40.53,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1988,42031,10147,5499,1710,17356,41.29,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1989,42449,10379,5691,1785,17855,42.06,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1990,42869,10473,5972,1897,18342,42.79,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1991,43296,10461,6294,1979,18735,43.27,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1992,43748,10446,6634,2065,19146,43.76,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1993,44195,10420,6988,2153,19561,44.26,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1994,44642,10385,7356,2243,19984,44.77,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1995,45093,10342,7738,2334,20414,45.27,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1996,45525,10195,8132,2376,20703,45.48,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
1997,45954,10116,8449,2421,20986,45.67,"e-나라지표 1007 지역별 인구 및 인구밀도(장래인구추계 시도편, 천 명) https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?idx_cd=1007",2026-08-19
