연도,선거일,선거종류,대수,투표율_퍼센트,비고,출처,retrieved
1952,1952-08-05,대통령선거(직선),2,88.1,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국의_대통령_선거; 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
1956,1956-05-15,대통령선거(직선),3,94.4,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국의_대통령_선거; 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
1960,1960-03-15,대통령선거(직선),4,97.0,3·15 부정선거(무효),"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국의_대통령_선거; 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
1963,1963-10-15,대통령선거(직선),5,85.0,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국의_대통령_선거; 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
1967,1967-05-03,대통령선거(직선),6,83.6,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국의_대통령_선거; 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
1971,1971-04-27,대통령선거(직선),7,79.8,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국의_대통령_선거; 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
1987,1987-12-16,대통령선거(직선),13,89.2,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국의_대통령_선거; 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
1992,1992-12-18,대통령선거(직선),14,81.9,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국의_대통령_선거; 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
1997,1997-12-18,대통령선거(직선),15,80.7,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국의_대통령_선거; 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
2002,2002-12-19,대통령선거(직선),16,70.8,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국의_대통령_선거; 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
2007,2007-12-19,대통령선거(직선),17,63.0,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국의_대통령_선거; 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
2012,2012-12-19,대통령선거(직선),18,75.8,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국의_대통령_선거; 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
2017,2017-05-09,대통령선거(직선),19,77.2,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국의_대통령_선거; 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
2022,2022-03-09,대통령선거(직선),20,77.1,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국의_대통령_선거; 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
2025,2025-06-03,대통령선거(직선),21,79.4,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국의_대통령_선거; 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
1948,1948-05-10,국회의원선거,1,95.5,제헌,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국_제N대_국회의원_선거 (각 선거 문서 정보상자); 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
1950,1950-05-30,국회의원선거,2,91.9,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국_제N대_국회의원_선거 (각 선거 문서 정보상자); 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
1954,1954-05-20,국회의원선거,3,91.1,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국_제N대_국회의원_선거 (각 선거 문서 정보상자); 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
1958,1958-05-02,국회의원선거,4,87.8,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국_제N대_국회의원_선거 (각 선거 문서 정보상자); 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
1960,1960-07-29,국회의원선거,5,84.3,민의원 기준(참의원 84.1),"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국_제N대_국회의원_선거 (각 선거 문서 정보상자); 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
1963,1963-11-26,국회의원선거,6,72.1,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국_제N대_국회의원_선거 (각 선거 문서 정보상자); 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
1967,1967-06-08,국회의원선거,7,76.1,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국_제N대_국회의원_선거 (각 선거 문서 정보상자); 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
1971,1971-05-25,국회의원선거,8,73.2,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국_제N대_국회의원_선거 (각 선거 문서 정보상자); 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
1973,1973-02-27,국회의원선거,9,72.9,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국_제N대_국회의원_선거 (각 선거 문서 정보상자); 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
1978,1978-12-12,국회의원선거,10,77.1,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국_제N대_국회의원_선거 (각 선거 문서 정보상자); 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
1981,1981-03-25,국회의원선거,11,77.7,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국_제N대_국회의원_선거 (각 선거 문서 정보상자); 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
1985,1985-02-12,국회의원선거,12,84.6,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국_제N대_국회의원_선거 (각 선거 문서 정보상자); 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
1988,1988-04-26,국회의원선거,13,75.8,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국_제N대_국회의원_선거 (각 선거 문서 정보상자); 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
1992,1992-03-24,국회의원선거,14,71.9,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국_제N대_국회의원_선거 (각 선거 문서 정보상자); 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
1996,1996-04-11,국회의원선거,15,63.9,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국_제N대_국회의원_선거 (각 선거 문서 정보상자); 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
2000,2000-04-13,국회의원선거,16,57.2,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국_제N대_국회의원_선거 (각 선거 문서 정보상자); 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
2004,2004-04-15,국회의원선거,17,60.6,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국_제N대_국회의원_선거 (각 선거 문서 정보상자); 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
2008,2008-04-09,국회의원선거,18,46.1,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국_제N대_국회의원_선거 (각 선거 문서 정보상자); 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
2012,2012-04-11,국회의원선거,19,54.2,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국_제N대_국회의원_선거 (각 선거 문서 정보상자); 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
2016,2016-04-13,국회의원선거,20,58.0,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국_제N대_국회의원_선거 (각 선거 문서 정보상자); 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
2020,2020-04-15,국회의원선거,21,66.2,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국_제N대_국회의원_선거 (각 선거 문서 정보상자); 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
2024,2024-04-10,국회의원선거,22,67.0,,"위키백과(2차 자료, 검증 필요) https://ko.wikipedia.org/wiki/대한민국_제N대_국회의원_선거 (각 선거 문서 정보상자); 원자료 https://info.nec.go.kr (중앙선거관리위원회 선거통계시스템 > 투표율)",2026-08-19
