series,edition,page,table,header
가구,1961,40,29. 도별가구 및 인구,20ㅅ ㅁ ⏐ 29비ㅁ및 ㅅㅁ” ⏐ HOUSEHOLDS AND POPULATION BY PROVINCES ⏐ It:F In thousands ⏐ ㅅ ㅡ*ㅁ주₩ㅅ티 ⏐ #밍커및 끝비 Households Populaiion Av. persons per household ⏐ Province 1955 1960 1949 1955 1960 1955 1960 ⏐ ※원 왔 Total 3807 4 383 20 189 21 527 24 994 5.65 5.7C ⏐ 서 울#비t Seoul Special City 283 1 446 1 575 2 445 5.56 5.47 ⏐ Gyeonggi-do 416 2741 2 364 2758 568 5.59 ⏐ Chungcheong-bug-do 212 232 1 192 1 369 5.62 5.90 ⏐ Chungcheong-nam-do 378 416 2 223 2 526 5:88 6.17
가구,1965,55,44. 도별가구 및 인구수(1964),"Popularion 37 ⏐ 44 ☆ㅁ및ㅅ다 포 (1964) ⏐ HOUSEHOLD AND POPULATION BY PROVINCE ⏐ ㅎㅄ는 주ㅊREㅅㅁ매표용표로시 1964+12/ L터 유마필A로 해쇼된것임. *나하는 TB떠A키AO를 쏘켜할여 충격하고 속꽈에 ㅅㅁ원 년져할때는 26%% ⏐ (16M)의 ARE밖에 포된 표하Ao을 공용할것 ⏐ 해표선사는 곳0이며 하과되싶는 #아몸요*임. 깜매금또합라함은 표B은 25m으로 하여 한 꽃에서 3셔비노 물요하였거나 몸손하려는 카물 말함. ⏐ 년 -한 오없이 그 콤소베어이 3등에 표하지 아니하는 또는 행포타필T에 전금하는 참F에서 동성하였음. 편픽에 있어서는 ₩보나 소독을 포화하고 함 ⏐ 씨에 문소하는 와 해세하ㄵ요T. 가#용없표금 공요및법법적은 습T에서 피표하였음 사료지다 가ㅅ 파히, 가포함. 도었볶습 또는 가업관대의 소화로 최도 ⏐ 야인큼 및 그 촛은 표하지 않었음. ⏐ Tbis wble is a resull of Yearend Dejure Population Couml, as of 00:01 a.m, Decenber 1, 1964. The hgures in Lhis table refer to Lhe population by adrain. ⏐ iouative disaices. and please rele. Lhe hgures of esrimatod popularion sbown in the Populaion Trends, Tablez6. Pagel6. or the populauion by year. ⏐ The mume aion unui is bouseholds, and cover the dcjune population. Tbe wording ""dejure popilation' was defned as.cbose persons wha had or would have"
가구,1966,45,38. 도별가구 및 인구수(1965),"Populaton 27 ⏐ 38 치비다 및ㅅ * (1965) ⏐ HOUSEHOLD AND POPULATION BY PROVINCE ⏐ *는 소ㅊEㅅㅁ유로로 1965410키1터 동사평A로 해출된것 #)는 gK를 ☆개할때 하고 속표 스ㅁ를 1할는 26%(16m) ⏐ 의 사미초에 된 포하An를 활콤할것 ⏐ 큼쇼부요는 ☆지이며 하요는 #유동#※ #유소#라함은 코쇼E을 ※※으로 하여 -뜻한 ET에서 3ALㅏ B하였거나 콤ㅼ히려는 쪽를 말함 ⏐ 트 한 HD없이 그 몸#비법이 37에 불하지 아니하는 뽑는 해슐티피T에 개입하는 봉카에서 해출하였음 뼈투에 있어서는 부맛나 노독을 못음하고 쓸정 ⏐ 에 몸소하는 불와 뜻FT뜸#, A수E못있 쫄흑찜쫄쑥은 티에서 해하였음 사버시다 루ㅅ, 부품, 사준파, 최쭈하슴 또는 카뻐파서의 소조로 #꿀다인 ⏐ #및 그릇었은 쾌슐하지 않었음 ⏐ Tihs table 1s a result of Year-end Dejure Populaton Count, as of October 1, 1965 The fgures In this table refer to the populaton by admanistrative dis- ⏐ tticts, and please refer the Agures of estimated populaton shown in the Popalation Trends, Table 26, Page 16, for the population by year ⏐ The emumeraton unit Is households, and cover the dejure population The wording ""dejure popalation"" was defined as those persons who had or would have"
가구,1967,35,"28. 시, 도별 가구증가율","Populaton 17 ⏐ 27 ㅅ ㅁ초#및하윤터및 ㅅDW ⏐ NUMBER OF POPULATION, CITIEs, Eub AND Myeon BY POPULANION SIZE ⏐ 1930 1935 1940 1949 ⏐ 봤다 ⏐ Actual figure Ratlo Actual figure Ratlo Actual figure Ratio Actual figure ⏐ 표ㅄㅅ 흡ㅄㅅ풉 흡빛ㅅ ㆈㅄㅼㅮㅴㅅㅁㅒㅄㅅ 니. ⏐ 그 퍼 퍼ㅵ^ A ⏐ Cittes, Citres, Cities, Citles, ⏐ eub and Population eub and Popu- jeub and Population eub and Popu- leub and. Population eub and Popu- leub and Population ⏐ myeon myeon lation myeon myeon | lction | myeor| myeon fation myeon ⏐ 봤 Total 2 478 21 058 305 100. 0 100. 0 2 407 22 899 088 100. 0 100. 0 2 352 24 326 327 100. 0 100. 0 1 546 20 183 641"
가구,1967,40,32. 도별 가구 및 인구,"22 ㅅㅁ ⏐ 32 믿하 및 ㅅㅁ ⏐ *※는 19664 10] 1E 통바터쇼를 보력으로 하여 스프RBAL+ A퍼서이 미치는 숲요지에 하는 스후곳료로 및 사러시이트 사러ㅅ다 표^, 주류,까쯔 ⏐ 빨과 폐폭주매습 또는 아B교서의 소정로 3EF *W의 품표H인 사람과 그 맑볶은 아되었음)을 용으로 확혀한 신서스#끗임. #라 함은 표콤소현에서 3BE ⏐ 다소 살았거나 앞으로 3버9L소 살 콤볶를 말하며 IM#는 핀소에서 해습하였으며 해출>있은 -#해출료와 4미해출으로 모습하여 -맛해출료에 있어서는 ⏐ 해할화성촉의 표소번에서, *바롬또하는 볶D가 없는 는 편조의 봇어에서 ※기일요로 *TE행감로 하였고 미행스료는 대무은 기곳또는 했, 하F, AA. ⏐ 용든, 활휴물 무요로 각각 -☆7로하여 쾌죠하였음. ⏐ #신개같치성금로서 #카기블뽀부, 채해쑠, 조사퇴소술의 파티과 그 촛겠은 DSA, 사카꼭 및 쑥화동과 1S해T에 해출하였음 ⏐ ※ㅁ는 와 카으로 묘수하였고 깃는 뜻을 소뜻으로 하는 다음 3미를 말함 ⏐ 가. (동4fF HL) FF미고는 행품없이 더축해야하는 *1H(E•잠을 승하여)300주L 노을 해야하는 맛디 ⏐ 나. (☆ 흡) 소나 말을 1마리시노(트 채했씨은 B사) 기르던가 돼지, 염소, 양쪽을 도합 3마리미스 기르던가 닭, 오리, 토끼쁨을 30마리니스 기르는 했미 ⏐ 다. (부주E7E4X) ㅵX을 티B으로 못빠이나 꽃밭, 또는 폭후씀의 4셔P4#)쯤, 버섯기르기, 누에치기 쪽으로 14BI지을 10,000원니노 언었던가 또는 꿀벌"
가구,1968,35,"28. 시, 도별 가구증가율","Populaton 17 ⏐ 27 ㅅㅁ 초 천 및카윤패및 ㅅRW ⏐ NUMBER OF POPULATION, SI Eub AND Myeon By POPULATION SIZE ⏐ 1930 7949 ⏐ Actual figure Ratio Actual figure Actual figure ⏐ ㅄㅅㅁ ⏐ Si, eub ⏐ and Population Popultaron ⏐ myeon myeon iaton | mveon ⏐ 불 Total 2 478 21 058 305 100. 0 100.0 2 407 22 899 038 100. 0 100. 0 2 352 24 326 327 100.0 100.0 1 546 20 188 641 ⏐ 0~4 999 Persons 308 1 308 011 12.4 6.2 201 159 758 ⏐ 5 000~9 999 1 696 12 270 602 68. 4 58. 3 1 540 11 416 445 781 6 094 686"
가구,1968,40,32. 도별 가구 및 인구,"2ㅅㅁ ⏐ 하ㅊ는 표ㅅ, 부표. 반쯔 ⏐ 파파 #소라 함은 퇴몬소에서 3퍼E ⏐ 니노 살았거나 앞으로 3티크 D도 살 좋는쪽를 말하여 AA뽑는 해습가쏘은 -#해할요와 *미해솔트로 토유하여 -#해표표에 있어서 ⏐ 는 채솔 충음의 #소백에서, #든 휴끔, ⏐ 소분, 쫄쭈물무쇼로 각각 -☆미로 하여 해출하였음 ⏐ 그표필통로서 1사#을찌투, ⏐ 하니는 ⏐ 가. (# fF 28) ⏐ 나. (☆ 흡) 양 뽑을 도합 3마리미노 기르던가 닭, 오리, 토끼뿐을 30마리있노 기르는 봤ㅁ ⏐ 다. 4분폰《F폼) 얻었 던가 또는 꿀벌 ⏐ 5통 보노을 치는 쌌ㅁ"
가구,1969,35,27. 시도별 가구증가율,"Population 17 ⏐ 26 인구규모별시읍면및인구수 ⏐ NUMBER OF POPULATION,St, Eub AND Myeon BY POPULATION SIZE ⏐ 1930 1933 1940 194g ⏐ 실 수 분 포비 실 수 분 포 비 실 주 분 포비 실 수 ⏐ No. & pop. -지 No. & pop. Ratto No. & pop. Ratio No. & pop. ⏐ 월인 시 읍 시 후인 구연 부인 구면 -시 ⏐ 구 면 수인 구면 인 구 ⏐ Si, 0ub Si, eub Si, 0ub Si, eub ⏐ | Population Popu- and Population and : Popu-! and Populoton ond Popu• and Pcpulcticn ⏐ myeon myeon lation j myeon myoon } lation myeon myeon lation myeon ⏐ 충 수 Total | 2 478 21 058 305 100. 0 100. 0 2 407 22 899 038 100. 0 100. 0 2 352 24 326 327 100. 0 100. 0 1 546 20 188 641"
가구,1969,70,32. 도별 가구 및 인구,"52 일구 ⏐ 32 도별가구및인구 ⏐ 본표는 1966년 10월 1일 영시현재를 기준으로 하여 대한민국영토중 행정권이 미치는 영역내에 상주하는 대한민국 국민 및 외국인(한 외국인증 군인: 군속• 외 ⏐ 교관과 국제연합 또는 외극행정부의 공무로 3개월 미만의 체재중인 사람과 그 가족은 제외되었음)을 대상으로 절시한 센서스걸과임, 상주라함은 현거주지에서 3개 ⏐ 월 이상 살았거나 앞으로 3개월 이싱 잘 예정자를 말하며, 기타자는 혈 주지에서 조사하였으며, 조사방법은 일반 조사구와 특별조사구로 구분하여 일반조사구 ⏐ 에 있어서는 조사 대상자의 상주지에서 항시거주하는 장소가 없는자는 현재의 장소에서 가구단위로 타계식조사로 하였고, 특별조사구는 국군은 부대 또는 합선, ⏐ 교도소, 조련원, 경찰서 단위로 각자 일가구로 하여 조사하였음. ⏐ 기타 조사대상자로서 해외파월국군, 기술자 재외국공관의 직원과 그 가족은 국방부, 외두부 및 노동청과 협조하에 조사하였음. ⏐ 가. (경작지) 소유여하는 관계없이 직접 경작하는 경작지(전, 답을 합하여) 300평 이상을 경작하는 가구 ⏐ 나. (자 축) 소나 말을 한마리 이상(단, 운반용은제외) 기르가 돼지, 염소, • 양 등을 도합 3마리 이상 기르먼가 닭, 오리, 토끼 등을 30마리 이상기르는 가구. ⏐ 다. (특용작용) 수입을 목적으로 파수원이나 꽃발 또는 약초 등의 특용작물 재배, 버섯기르기, 누에치기 등으로 1년간 수입을 10,000원 이상 얻었던가 또는 꿀 ⏐ 벌 5통 이상을 치는 가구."
가구,1970,52,28. 시도별 가구 및 농가율,32 일 구 ⏐ 28 시도별 가구 및 농가율 ⏐ 총 가 구 Total 농 가 Form household ⏐ 시 도 별 연평균증가율 연평균증가율 ⏐ 1960 1966 Amuai mcrease ratio 1960 1966 Annual Increase ratio ⏐ (%) (%) ⏐ 전 국 4 382 801 5 191 507 2.9 1.2 ⏐ 서 울 특 별 시 734 334 8.8 19.8 ⏐ 부산시 271 512 4 3 10. 2 ⏐ 경기도 558 157 21 0.5 ⏐ 강 원 도 339 361 1.6 1.0 ⏐ 충청 북 도 261 533 2.0- 1.6
