series,edition,page,table,chapter,block,region,matched_by,col_idx,x,raw,value,conf,flag,row_text
가구,1961,40,29. 도별가구 및 인구,III. 인구,전체,서울,ko,0,0.3758,283,283,1.0,,서 울#비t Seoul Special City 283 1 446 1 575 2 445 5.56 5.47
가구,1961,40,29. 도별가구 및 인구,III. 인구,전체,서울,ko,1,0.5421,1 446,1446,0.5,,서 울#비t Seoul Special City 283 1 446 1 575 2 445 5.56 5.47
가구,1961,40,29. 도별가구 및 인구,III. 인구,전체,서울,ko,2,0.6345,1 575,1575,0.3,저신뢰,서 울#비t Seoul Special City 283 1 446 1 575 2 445 5.56 5.47
가구,1961,40,29. 도별가구 및 인구,III. 인구,전체,서울,ko,3,0.7248,2 445,2445,1.0,,서 울#비t Seoul Special City 283 1 446 1 575 2 445 5.56 5.47
가구,1961,40,29. 도별가구 및 인구,III. 인구,전체,서울,ko,4,0.8234,5.56,5.56,0.5,,서 울#비t Seoul Special City 283 1 446 1 575 2 445 5.56 5.47
가구,1961,40,29. 도별가구 및 인구,III. 인구,전체,서울,ko,5,0.9117,5.47,5.47,1.0,,서 울#비t Seoul Special City 283 1 446 1 575 2 445 5.56 5.47
가구,1961,40,29. 도별가구 및 인구,III. 인구,전체,전남,en,0,0.3737,551,551,0.5,,Jeonla-nam-do 551 606 3 042 3 128 3 553 5.67 5.86
가구,1961,40,29. 도별가구 및 인구,III. 인구,전체,전남,en,1,0.4641,606,606,1.0,,Jeonla-nam-do 551 606 3 042 3 128 3 553 5.67 5.86
가구,1961,40,29. 도별가구 및 인구,III. 인구,전체,전남,en,2,0.5421,3 042,3042,0.5,,Jeonla-nam-do 551 606 3 042 3 128 3 553 5.67 5.86
가구,1961,40,29. 도별가구 및 인구,III. 인구,전체,전남,en,3,0.6324,3 128,3128,1.0,,Jeonla-nam-do 551 606 3 042 3 128 3 553 5.67 5.86
가구,1961,40,29. 도별가구 및 인구,III. 인구,전체,전남,en,4,0.7248,3 553,3553,0.3,저신뢰,Jeonla-nam-do 551 606 3 042 3 128 3 553 5.67 5.86
가구,1961,40,29. 도별가구 및 인구,III. 인구,전체,전남,en,5,0.8214,5.67,5.67,1.0,,Jeonla-nam-do 551 606 3 042 3 128 3 553 5.67 5.86
가구,1961,40,29. 도별가구 및 인구,III. 인구,전체,전남,en,6,0.9117,5.86,5.86,1.0,,Jeonla-nam-do 551 606 3 042 3 128 3 553 5.67 5.86
가구,1961,40,29. 도별가구 및 인구,III. 인구,전체,전국,en,0,0.3775,220 230.83,220230.83,1.0,,※ Grand total 220 230.83 35 023 371 17 512 680 17 510 691 159.0
가구,1961,40,29. 도별가구 및 인구,III. 인구,전체,전국,en,1,0.501,35 023 371,35023371,0.5,,※ Grand total 220 230.83 35 023 371 17 512 680 17 510 691 159.0
가구,1961,40,29. 도별가구 및 인구,III. 인구,전체,전국,en,2,0.6241,17 512 680,17512680,1.0,,※ Grand total 220 230.83 35 023 371 17 512 680 17 510 691 159.0
가구,1961,40,29. 도별가구 및 인구,III. 인구,전체,전국,en,3,0.7577,17 510 691,17510691,1.0,,※ Grand total 220 230.83 35 023 371 17 512 680 17 510 691 159.0
가구,1961,40,29. 도별가구 및 인구,III. 인구,전체,전국,en,4,0.8994,159.0,159.0,1.0,,※ Grand total 220 230.83 35 023 371 17 512 680 17 510 691 159.0
가구,1961,40,29. 도별가구 및 인구,III. 인구,전체,서울,ko,0,0.4209,268,268,1.0,,서울#벨커 Seoul Special City 268 ? 444 883 1 223 708 1 221 175
가구,1961,40,29. 도별가구 및 인구,III. 인구,전체,서울,ko,1,0.6303,1 223 708,1223708,0.5,,서울#벨커 Seoul Special City 268 ? 444 883 1 223 708 1 221 175
가구,1961,40,29. 도별가구 및 인구,III. 인구,전체,서울,ko,2,0.7679,1 221 175,1221175,0.5,,서울#벨커 Seoul Special City 268 ? 444 883 1 223 708 1 221 175
가구,1961,40,29. 도별가구 및 인구,III. 인구,전체,전남,en,0,0.4045,12 025,12025,1.0,,• Jeonla-nam-do 12 025 3 553 475 1 775 56 1 777 915
가구,1961,40,29. 도별가구 및 인구,III. 인구,전체,전남,en,1,0.5092,3 553 475,3553475,1.0,,• Jeonla-nam-do 12 025 3 553 475 1 775 56 1 777 915
가구,1961,40,29. 도별가구 및 인구,III. 인구,전체,전남,en,2,0.6365,1 775 56,177556,0.5,,• Jeonla-nam-do 12 025 3 553 475 1 775 56 1 777 915
가구,1961,40,29. 도별가구 및 인구,III. 인구,전체,전남,en,3,0.768,1 777 915,1777915,0.3,저신뢰,• Jeonla-nam-do 12 025 3 553 475 1 775 56 1 777 915
가구,1965,55,44. 도별가구 및 인구수(1964),III. 인구,전체,부산,en,0,0.3019,250 688,250688,1.0,,Busan City 250 688 9 308 241 380 | 399 859 689 $69 기0290 283 139 213 190 69 949
