series,edition,page,table,header
금융,1952,186,141. 도시별 예금 및 대출금상황,"173 해날 및 숲겠 ⏐ 140. 숲 및 ⏐ . ⏐ 봤 • 서 울 $ 비 커 해 않 #하*# 반 화교 # ⏐ 월숲 샷비숲 쇼/불비쇼| 표 £ ☆버쇼 ⏐ 4284 (1951) 218,172 224,793 38,684 45,760 12,997 10,675 5,$75 6,877 10,253 i,709 ⏐ 4285 (1952) 594,153 649,151 43,849 19,089 37,477 22,879 10,575 17,208 30,592 38,973 ⏐ 4285 (1952) ⏐ 241,576 240.141 91 13,396 6,589 6,627 13,596 1?,501 ⏐ 2 277,423 248,051 1,323 14,030 ~ 7,135 0,515 19,1$5 I1,s!? ⏐ 330,170 247,121 1,$12 15,843 7,554 5,702 15,777 10,824 ⏐ 4 338,623 261,954 1,706 16,859 "",882 5,$£8 16,963 10,698"
금융,1954,184,123. 도별 및 주요도시별 예금 및 대출금,"12ㄿ및숲례 ⏐ 123. 3레및또봇¾궁 ⏐ 출하 ⏐ 법 ⏐ 서 ⏐ 천열 #근, ⏐ 4284 종 195I 2 482 326 130 54 163 I72 I9i 3{7 I 071 32 ⏐ 4285 - 1952 5 942 423 375 196 369 295 316 821 2 988 100 ⏐ 4286 1953 I0 550 4 385 393 234 • 562 426 458 I 019 2 819 I?7 ⏐ 4287 1954 26 178 10 042 1 462 736 1336 1208 1 651 2 907 6 053 635 ⏐ Iㅒ I2 803 4 819 298 567 1 297 3 222 307 ⏐ 2 13840 4 845 342 662 1 412 3610 420"
금융,1957,254,183. 도별 예금 및 대출금,230 숲 제 ⏐ 183.퍼쇼 및 W숲 ⏐ Deposits and Loans by Province (천합유24288~42894) 무요 : 패월뽀 ⏐ (1955~1956) In millon Hwan ⏐ :서울하습 ㅠㅴ ## #편 ⏐ Year and Month Total Seoul Kyongg고 Kang- Chuing Chung Chon Chon Kyong Kyong Cheju ⏐ Won Puk Nam Puk Nam Puk윦 Namn ⏐ Depostts ⏐ 4288 1955 46 238 18 958 2 189 1 026( 1 374) 2 525 1 8061 2 6561 4 871 10 600 233| ⏐ 4289 1956 74 943 34 064 3 857 1 587 2 214 3 766 2 723 3 666 7 477 15 277 307 ⏐ 51 273 22 785 1 945 1 078 2 803 5 169 |11 378 226 ⏐ 55 606 24 947 2 274: 1 225 2 925 5 619 12 107 257
금융,1957,255,184. 주요도시별 예금 및 대출금,Money & Banking 231 ⏐ 184. 크릇 856 5평소 및 샐H 숲 ⏐ Deposits and Loans of Banks in Large Cities (천유E4288~42894) 0 : 피포료 ⏐ (1955~1956) Ia million Hwen ⏐ ※년 뼈 서 울소 11 ㅊㅌㅊ태ㄾ는.츠화을 ⏐ Fear and Monll Chun- ⏐ Total Seoul Inchon Pusan Taegu Taejon Mokpo Kwangju Chonju Chongju chon ⏐ ㅿ. ‡ ⏐ 4288 1955 34 7441 18 958 857 7960 3 044 ⏐ 4289 1956 54 018 34 064 1 155 7 993 4 498 ⏐ 25 m g 882208 봉영흐호요혀 ⏐ 332
금융,1958,176,124. 도별 예금 및 대출금,178 쇼품 ⏐ 121. 비월숲 및 살비쇼 ⏐ (7*24288-4290#) 부사: 피회 ⏐ (1955m1957) In Milion Hwan ⏐ • 서울 #없ㅪW ⏐ geat and Momt ⏐ Total Seoul Kyonggi Kang- Chung Chung Chon Chon myong Byong Cheju ⏐ Wo1 Puk Nam Puk Nam Puk | Nam ⏐ A.뿅 Deposits ⏐ 4288 1955 46 238 18 958 2 189 525 1 806 2 6561 4 871 10 600 233 88 ⏐ 4289 1956 74 943 34 064 3857 3 76 2 728 3 666 7 477 15 277 307 89 ⏐ 4290 1957 80 805 41 977 3 813 3 321 2 51 3 708 7 279 14 582 365 90
금융,1958,177,125. 주요도시별 예금 및 대출금,Money and Banking 179 ⏐ 125.또롯* t에페쇼및또버숲 ⏐ Deposits and Loans of Banks in Large Cities (T9s512095792) aa mimton H찌a ⏐ (1955=1957) In milion ⏐ 저울소비 E*E ㅈㅌㅊj #찌 ⏐ Year and Month Kwang- Chun- ⏐ Total Scoul Inchon Pusan Taegu Taejon Mokpo ju Chonju Chongju. chon ⏐ 초밥 치금 ⏐ ㅂ ⏐ 4288 1955 | 34 335 18 958 409 88 . ⏐ 4289 1956 56 886 34 064 593 89 ⏐ 4290 1957 65 239 41 977 536 90
금융,1959,199,149. 주요도시별 예금 및 대출금,"167 ⏐ loan funds and other goverment deposits. ⏐ 3 Consists mainly of Idustrial Reconstruction Bonds ⏐ + Through June 195t iaciudes Ioaas made to guvernneat agerctes ⏐ , Consists mainly of loans against siuppng documents to foreigm traders. ⏐ • Fron Jrre t5/ Hrclades Hreigt carre icy lotzs mide ttom the UNKRA Snail Bisiness Iory Fund. ⏐ T Represents awan eluvaiert of tie Badk of Koret ove.soug'tt psitor of foreg: exc.iange less outstandug ⏐ tore:gr excaage devaluat o owpuses. ⏐ Includes all depssits ercuded trom tine moaey sipply siclas tire depats, notce deposits, deposits in kind ⏐ (in the Agriealture Bark only), cialdrer's savnso depoaits, depos:to of Natonal SavngsAssocratoas, and ⏐ o Hwan depoaits of Uw Forces, UNKRA and otaer foreen ofhcial organizatons and taeir subadary agencxes, ⏐ us Goverament local currency deposts and goverament subscriptos 1n domesttc curteacy to IBRD."
금융,1959,200,150. 도별예금 및 대출금,"168 ⏐ 150. 월 비코 숲 및 살버쇼? *유24238~*1291쇠호 ⏐ 뭐서 : 퍼화백 Bank Deposits and Loans, by Provinces1; 1955-1958 In milltons of Wvan ⏐ 또.5 돼 울내. #곱수#주과 ⏐ Year and Total Gyeong- Chung Jepn Gyeng GyenngGangwe) ⏐ month Specral Clty gi ⏐ Deposits ⏐ 4288 1955 46,238 10,600 ⏐ 4289 1956 15,277 ⏐ 4290 1957 14,532 ⏐ 4291 1958 20,873 ⏐ 1"
금융,1960,372,227. 도별 예금 및 대출금,"350--숲 ⏐ 227. *비피쇼및살비숲! ⏐ Bank Deposits and Loans, by Provinces 1 : 1945-59 ⏐ In milions of hwan ⏐ 쇽 ㅴ 서 울 조하 _ 왜 ⏐ Year Total Seonl Gyeong- Chung- Chung- Jeonbug Jeon- Gyeong-Gyeong- Gangw- Jeju ⏐ nam Dam bug nam eon ⏐ 숲 Deposits ⏐ 4278 1943 3 0 1 1 4 0 ⏐ 4289 1946 3 6 7 9 16 3! - ⏐ • ⏐ 4280 1947 4 32] -"
금융,1960,373,228. 주요도시별 예금 및 대출금,"숲 -351 ⏐ 228. 조릇 춰 해 쇼 및 또비쇼! ⏐ Bank Deposits and Loans, by Principal Cities 1: 1945-59 ⏐ 부요 : 퍼홍회 In milions of hwan ⏐ 유해서 울리스게쑈등차틱☆ㅌ*m .숲아해애 *! ⏐ Year Total Seoul Incheon Busan | DaeguDaejeon Mokpo Gwangjn Jeonja Cheongju Chun ⏐ cheon_ ⏐ 숲 Deposits ⏐ 4278 」 3 1 0 0 - ⏐ 2 § 6 ⏐ 3 기 ⏐ 6 6"
