series,edition,page,table,header
사업체,1970,288,195. 시도별 법인사업체수(자본규모) 및 자본금액,"268 도소매업 ⏐ 195 시도별 법인사업체수(자본규모) 및 자본금액 ⏐ 단위 : 천원 ⏐ 자본금규모별사업체수 ⏐ 50만원이하 50만원~ 100만원~ 200만원~ 500만원~ ⏐ 산업분류및시도별 100만우 200만원 500만원 1, 000만원 ⏐ under 500 ⏐ thouseud won | 500 thousand~ { mthon~ 2 milion~ 5 mllion~ ⏐ 1 millon wen 2 mllion wor 5 millica won 10 mlhon won ⏐ 전 국 1 269 488 124 41 104 ⏐ 61 도 매 엄 920 246 64 31 86 ⏐ 611~612 일반도매업 552 180 40 25 66"
사업체,1987,232,3. 산업 중분류 및 시ㆍ도별 사업체수,232-W. 도•소매업 ⏐ 3. 산업중분류 및 시•도별 사업체수 ⏐ * 1표 명문 참조 ⏐ 전 국 서 울 부 산 대 구 인 천 광 주 경 기 ⏐ All cites Seoul Pusan Taegu Inchion Kwangju Kyingg ⏐ 산 업 676 609 483 98t 40 752 185 646 ⏐ 농업 •수렵업•임업및어업 71 요 1 8$ ⏐ 멉 및 수렵 23 : 일~ ⏐ 4 ⏐ 업 44 ⏐ 광 업 304 21 9 24 ㅍ2 298 ⏐ 텃 44 -
사업체,1988,232,3. 산업중분류 및 시ㆍ도별 사업체수(1986),"광 주 경 기 ⏐ Kiwangjiu Kyonggi ⏐ 40 752 185 846 ⏐ 1 85 ⏐ 농업 및 수렵 522 23 ? ⏐ 임 1% ; ⏐ 어 업 ⏐ 광 업 21 9 "" "" 298 ⏐ 석 탄 업 44 •! 1 ⏐ 금 92 13 ⏐ 기 17 9 ⏐ 제 조 업 218 952 4 492 26 501"
사업체,1989,240,3. 산업중분류 및 시ㆍ도별 사업체수(1986),238-W 도 • 소매업 ⏐ 3. 산업중분류 및 시•도별 사업체수 (1986) ⏐ ※ 1죠 명문 참조. ⏐ 전 국 서 울 부 산 대 구 인 천 광 주 경 기 ⏐ All cites Seoul Pusan Taegu Inch'on Kwangju Kyongg ⏐ 젼 산 업 1 878 609 483 988 155 100 97 368 59 146 40 752 185 646 ⏐ 농업 • 수렵업 • 임업및어업 702 71 1 1 1 ⏐ 농업및 수렵 업 522 8.9 -. 11그 ⏐ 임 업 ⏐ 어 업 ⏐ 광 업 12 ⏐ L&t i §
사업체,1990,238,3. 산업중분류 및 시ㆍ도별 사업체수(1986),236- 도•소매업 ⏐ 3. 출불다규※ 및 하• 게 품꽃끝쁨보 (1986) ⏐ ※1층 코버고 할며 ⏐ 전 국 서 울 부 산 대 구 인 천 광 주 경 기 ⏐ All cities Seoul Pusan Taegu Inch'on Kwangju Kyonggn ⏐ 전 산 업 1 676 609 483 986 155 100 97 388 59 146 40 752 185 646 ⏐ 농업 •수렵업 • 임업 및어업 702 1 1 85 ⏐ 업 및수렵 522 23 ! ⏐ 1⅜습 i ⏐ 광 업 21 9 ⏐ 탄속 광 업 4?: - 1 ⏐ 광 업업 92
사업체,1991,238,3. 산업 중분류 및 시ㆍ도별 사업체수(1986),236- VI 도• 소매업 ⏐ 3. 1불다슈찌 및 하• 비 돌뿍 뿍보 (1986) ⏐ ※1ㅊ 큰배☆ 찰버 ⏐ 전 국 서 울 부 산 대 구 인 천 광 주 경 기 ⏐ All cites Seoul Pusan Taegu Inch'on Kwangju Kyongg ⏐ 전 산 업 1 876 608 483 986 155 100 97 368 59 148 40 752 185 646 ⏐ 농업 • 수렵업•임업및어업 702 71 1 1 1 85 ⏐ 농업및 수렵 업 업 522 23 i _. ⏐ 임 34 함 ⏐ 어 업 146 ⏐ 8ㅶ ⏐ 광 업 2 655 164 9 12 298
사업체,1992,236,3. 산업 중분류 및 시ㆍ도별 사업체수(1991),"234-W 도•소매업 ⏐ 3. #다차* 및 하• 급게 등꽃습발보(1991) ⏐ ※ 1ㅊ 탐병고 활 ⏐ 전 국 서 울 부 산 대 구 인 천 광 중 대 전 경 기 ⏐ Whole ⏐ country Seoul Pusan Taegu Inch""on Kwangju Taejon Kyongg ⏐ 전 산 업 2 118 247 581 092 205 181 122 873 87 708 59 505 56 934 276 012 ⏐ 농업 • 수렵업• 임업및어업 1 120 87 107 12 4 8. 6 108 ⏐ 업 및 수렵 업 695 ㆀ13 g?! 51- ⏐ 업 122 ⏐ 업 303 ⏐ 광 업 2 650 28 60 274"
사업체,1993,252,3. 산업 중분류 및 시ㆍ도별 사업체수(1991),250 -VI. 도•소매업 ⏐ 3. 1*다* 및 카•급비 꽃#불 (1991) ⏐ ※ 1* 없번☆ 잘버 ⏐ 전 국 서 울 부 산 대 구 인 천 광 주 대 전 경 기 도 ⏐ Whole ⏐ country Seoul Pusan Taegu Inch’on Kwangju Taejon Kyonggi-do ⏐ 전 산 업 2 118 247 581 092 205 181 122 873 87 708 59 505 56 934 276 012 ⏐ 농업• 수렵업 • 임업및어업 1 120 87 107 1?. 4 8 6 108 ⏐ • 업및 수렵 업 695 27 • ⏐ 업 12? 6 ⏐ 업 303 54 99 ⏐ 광 업 2 650 160 28 17 60 12 9 274
사업체,1995,270,3. 시ㆍ도별 사업체수 및 종사자수,"246 - VI 사업체 총괄, 도소매 및 서비스업 ⏐ 3. 시 •도별 사업체수 및 종사자수 ⏐ 단위 : 개, 명 ⏐ 전 국 서울특별시 부산광역시 대구광역시 ⏐ Whole Country Seoul Metropolitan City Pusan Metropolitan City Taegu Metropolitan City ⏐ 사업채수 종사자수 • 사업체수 종사자수 • 사업체수 종사자수 - 사업체수 종사자수 ⏐ Number of Number of Number of Number of ⏐ establish- Number of estabish- Number of establish- Number of [establish- Number of ⏐ ments workers ments workers mnents workers mments workers ⏐ 전 산 업 2 304 250 12 245 073 624 841 3 974 457 226 312 1 047 659 126 631 579 516 ⏐ 농업, 수렵 업 및 임 업 1? 7 225 38 839 7 70 7 1?2 ⏐ 농업,수렵업및관련서비스업 667 6 731 38 839"
사업체,1996,282,3. 시ㆍ도별 사업체수 및 종사자수,254 - VI 사업제 총괄 도소매 및 서비스업 ⏐ 3 시 •도별 사업체수 및 종사자수 ⏐ 단귀 개명 ⏐ 전 국 서울특별시 부산광역시 대구광역시 ⏐ Whole Country Seoul Metropoltan City Pusan Metropoltan CityTaegu Metropolitan Cty ⏐ 사업제수 종사자수 사업제수 종사자수 사업제수 종사자수 사업제수 종사자수 ⏐ Number of Number of Number of Number of ⏐ establish Number of estabish Number of establish Number of | establish Number of ⏐ ments workers ments workers ments workers ments workers옓 ⏐ 전 산 업 2518 454 12 583 630 655 139 3 612 150 244 467 1 113 956 151 362 685 987 ⏐ 농업수렵임 업 1 158 13 392 1 282 13 112 227 ⏐ 농업수렵업및관련서비스업 1 102 12 683 79 12 102 15 198
사업체,1997,298,3. 시ㆍ도별 사업체수 및 종사자수,"270-M 사업체 총괄, 도소매 및 서비스업 ⏐ 3. 시 •도별 사업체수 및 종사자수 ⏐ 단위 • 개, 명 ⏐ 전 국 서울특별시 부산광역시 대구광역시 ⏐ Entire naton옓 Seoul Metropoltan Clty Pusan Metropoltan Caty Taegu Metropoltan Cty ⏐ 사업체수|총사자수 사업채수|총사자수 사업체수]종사자수 사업채수|총사자수 ⏐ Number of Number of Number of Number of ⏐ establish- Number of estabish- Number of estabish- Number of estabush- Number of ⏐ ments workers ments workers ments workers ments workers ⏐ 전 산 업| 2 771 068 18 634 278 708 025 3 874 597 256 368 1 152 092 166 449 737 394 ⏐ 농업, 수렴 및임 업 1 420 I? 909 89 2 065 136 15 216 ⏐ 농업,수렵업및 관련서비스업 1 344 15 899 84 14 129 14"
사업체,1998,318,3. 시ㆍ도별 사업체수 및 종사자수,"280 - VI. 사업체 총괄, 도소매 및 서비스업 ⏐ 3. 시 1 • 도별 사업체수 및 종사자수 ⏐ 단위 : 개, 명 ⏐ 전 국 서울뜩별시 부산광역시 대구광역시 ⏐ Whole Country Seoul Metropolitan City Pusan Metropolitan City Taegu Metropolitan City ⏐ 사업체수 종사자수 사업체수 종사자수 사업체수 | 총사자수 사업체수 | 종사자수 ⏐ Establish- Establish- Establish Establish- ⏐ ments Workers ments Wokers mcnts Wotkers ments Workers ⏐ 진 산 업 2 807 802 14 006 754 699 797 4 045 537 253 355 1 197 990 168 818 736 308 ⏐ 농 업, 수립입 및임 업 2 095 25314 63 1 368 13 107 11 220 ⏐ 농입,수립업 및 관련서비스업 2 000 ~ . a 201 ⏐ 임업,벌 목및관련서비스업 87 6 19"
사업체,1999,324,3. 시ㆍ도별 사업체수 및 종사자수(1998),"322 * VII. 사업체 총괄, 도소매 및 서비스업 ⏐ 3. 시 • 도별 사업체수 및 종사자수(1998) ⏐ 단위 : 개, 명 ⏐ 전 국 서울특별시 부산광역시 ⏐ Whole County Seoul Metropolitan City Pusan Meropolitan Cisy ⏐ 산업분류 사업체수 중사자수 사업체수 : 종사자수 사업체수 종사자수 ⏐ Establish- 남 여 Establish- Establish- ⏐ ments Wotkers Male Fmale ments Workers ments Workers ⏐ 전 산 업 2 785 659 12 416 5s8 ㄱㄲ ⅞0 4 644 818 663 293 3 378 615 249 677 1 010 408 ⏐ 농업, 수렵업및임 업 2 308 25 571 21 242 4 329 63 926 19 103 ⏐ 농업,수렵업 및 관련서비스업 2 218 24 417 20 372 4 045 798 "" ⏐ 임업.벌 목및관련서비스업 90 1 154 870 284 128"
사업체,2000,318,3. 시ㆍ도별 사업체수 및 종사자수(1999),"316- VI. 사업체 총괄, 도소매 및 서비스업 ⏐ 3. 시 • 도별 사업체수 및 종사자수(1999) ⏐ 단위 : 개, 명 ⏐ 전 국 서울특별시 부산광역시 ⏐ The nation Seoul Metropolitan City Busan Metropolitan City ⏐ 사업체수 1 종사자수 사업체수 종사자수 사업체수 | 종사자수 ⏐ 산업분류 ⏐ Establsh- 남 여 Establish- Establish- ⏐ ments Workers Male Fmale ments Workers ments Workers ⏐ 전 산 업 2 927 330 12 920 289 8 026 088 4 894 201 690 205 3 367 652 256 561 1 045 176 ⏐ 놈 업 및 임 업 2 164 23 208 18 929 4 279 46 608 18 123 ⏐ 농업,수렵업 및 관련서비스업 2 103 22 300 18 150 4 150 16 112"
