계열,판,쪽,표제목,장,블록,지역,매칭,열순번,x위치,원문,값,신뢰도,플래그,행원문
사업체,1970,288,195. 시도별 법인사업체수(자본규모) 및 자본금액,XIV. 도소매업,전체,전국,ko,0,0.4148,1 269,1269,1.0,,전 국 1 269 488 124 41 104
사업체,1970,288,195. 시도별 법인사업체수(자본규모) 및 자본금액,XIV. 도소매업,전체,전국,ko,1,0.5216,488,488,1.0,,전 국 1 269 488 124 41 104
사업체,1970,288,195. 시도별 법인사업체수(자본규모) 및 자본금액,XIV. 도소매업,전체,전국,ko,2,0.616,124,124,1.0,,전 국 1 269 488 124 41 104
사업체,1970,288,195. 시도별 법인사업체수(자본규모) 및 자본금액,XIV. 도소매업,전체,전국,ko,3,0.7166,41,41,0.3,저신뢰,전 국 1 269 488 124 41 104
사업체,1970,288,195. 시도별 법인사업체수(자본규모) 및 자본금액,XIV. 도소매업,전체,전국,ko,4,0.8029,104,104,1.0,,전 국 1 269 488 124 41 104
사업체,1987,232,3. 산업 중분류 및 시ㆍ도별 사업체수,VII. 도ㆍ소매업,산 업,전국,col-ko,0,0.3368,676 609,676609,1.0,전치,[전치] 3. 산업중분류 및 시•도별 사업체수 | 산 업
사업체,1987,232,3. 산업 중분류 및 시ㆍ도별 사업체수,VII. 도ㆍ소매업,산 업,광주,col-ko,0,0.8172,40 752,40752,0.5,전치,[전치] 3. 산업중분류 및 시•도별 사업체수 | 산 업
사업체,1987,232,3. 산업 중분류 및 시ㆍ도별 사업체수,VII. 도ㆍ소매업,산 업,경기,col-ko,0,0.9168,185 646,185646,0.5,전치,[전치] 3. 산업중분류 및 시•도별 사업체수 | 산 업
사업체,1987,232,3. 산업 중분류 및 시ㆍ도별 사업체수,VII. 도ㆍ소매업,농업 •수렵업•임업및어업,서울,col-ko,0,0.4343,71,71,0.3,전치|저신뢰,[전치] 3. 산업중분류 및 시•도별 사업체수 | 농업 •수렵업•임업및어업
사업체,1987,232,3. 산업 중분류 및 시ㆍ도별 사업체수,VII. 도ㆍ소매업,농업 •수렵업•임업및어업,인천,col-ko,0,0.7228,1,1,0.3,전치|저신뢰,[전치] 3. 산업중분류 및 시•도별 사업체수 | 농업 •수렵업•임업및어업
사업체,1987,232,3. 산업 중분류 및 시ㆍ도별 사업체수,VII. 도ㆍ소매업,멉 및 수렵,서울,col-ko,0,0.4343,23,23,0.5,전치,[전치] 3. 산업중분류 및 시•도별 사업체수 | 멉 및 수렵
사업체,1987,232,3. 산업 중분류 및 시ㆍ도별 사업체수,VII. 도ㆍ소매업,?,서울,col-ko,0,0.4343,4,4,0.3,전치|저신뢰,[전치] 3. 산업중분류 및 시•도별 사업체수 | 
사업체,1987,232,3. 산업 중분류 및 시ㆍ도별 사업체수,VII. 도ㆍ소매업,업,서울,col-ko,0,0.4343,44,44,1.0,전치,[전치] 3. 산업중분류 및 시•도별 사업체수 | 업
사업체,1987,232,3. 산업 중분류 및 시ㆍ도별 사업체수,VII. 도ㆍ소매업,광 업,서울,col-ko,0,0.4343,304,304,0.3,전치|저신뢰,[전치] 3. 산업중분류 및 시•도별 사업체수 | 광 업
사업체,1987,232,3. 산업 중분류 및 시ㆍ도별 사업체수,VII. 도ㆍ소매업,광 업,부산,col-ko,0,0.5287,21,21,0.5,전치,[전치] 3. 산업중분류 및 시•도별 사업체수 | 광 업
사업체,1987,232,3. 산업 중분류 및 시ㆍ도별 사업체수,VII. 도ㆍ소매업,광 업,대구,col-ko,0,0.6253,9,9,1.0,전치,[전치] 3. 산업중분류 및 시•도별 사업체수 | 광 업
사업체,1987,232,3. 산업 중분류 및 시ㆍ도별 사업체수,VII. 도ㆍ소매업,광 업,인천,col-ko,0,0.7228,24,24,1.0,전치,[전치] 3. 산업중분류 및 시•도별 사업체수 | 광 업
사업체,1987,232,3. 산업 중분류 및 시ㆍ도별 사업체수,VII. 도ㆍ소매업,광 업,경기,col-ko,0,0.9168,298,298,0.3,전치|저신뢰,[전치] 3. 산업중분류 및 시•도별 사업체수 | 광 업
사업체,1987,232,3. 산업 중분류 및 시ㆍ도별 사업체수,VII. 도ㆍ소매업,텃,서울,col-ko,0,0.4343,44,44,1.0,전치,[전치] 3. 산업중분류 및 시•도별 사업체수 | 텃
사업체,1987,232,3. 산업 중분류 및 시ㆍ도별 사업체수,VII. 도ㆍ소매업,?,전국,col-ko,0,0.3368,92,92,1.0,전치,[전치] 3. 산업중분류 및 시•도별 사업체수 | 
사업체,1987,232,3. 산업 중분류 및 시ㆍ도별 사업체수,VII. 도ㆍ소매업,?,부산,col-ko,0,0.5287,3,3,1.0,전치,[전치] 3. 산업중분류 및 시•도별 사업체수 | 
사업체,1987,232,3. 산업 중분류 및 시ㆍ도별 사업체수,VII. 도ㆍ소매업,30!,대구,col-ko,0,0.6253,9,9,1.0,전치,[전치] 3. 산업중분류 및 시•도별 사업체수 | 30!
사업체,1987,232,3. 산업 중분류 및 시ㆍ도별 사업체수,VII. 도ㆍ소매업,제 업,전국,col-ko,0,0.3368,218 952,218952,1.0,전치,[전치] 3. 산업중분류 및 시•도별 사업체수 | 제 업
사업체,1987,232,3. 산업 중분류 및 시ㆍ도별 사업체수,VII. 도ㆍ소매업,?,전국,col-ko,0,0.3368,91 463,91463,0.3,전치|저신뢰,[전치] 3. 산업중분류 및 시•도별 사업체수 | 
사업체,1987,232,3. 산업 중분류 및 시ㆍ도별 사업체수,VII. 도ㆍ소매업,섬 유 의 복 가 죽 산,전국,col-ko,0,0.3368,75 864,75864,0.3,전치|저신뢰,[전치] 3. 산업중분류 및 시•도별 사업체수 | 섬 유 의 복 가 죽 산
