계열,판,쪽,표제목,header
사업체,1970,288,195. 시도별 법인사업체수(자본규모) 및 자본금액,"268 도소매업 ⏐ 195 시도별 법인사업체수(자본규모) 및 자본금액 ⏐ 단위 : 천원 ⏐ 자본금규모별사업체수 ⏐ 50만원이하 50만원~ 100만원~ 200만원~ 500만원~ ⏐ 산업분류및시도별 100만우 200만원 500만원 1, 000만원 ⏐ under 500 ⏐ thouseud won | 500 thousand~ { mthon~ 2 milion~ 5 mllion~ ⏐ 1 millon wen 2 mllion wor 5 millica won 10 mlhon won ⏐ 전 국 1 269 488 124 41 104 ⏐ 61 도 매 엄 920 246 64 31 86 ⏐ 611~612 일반도매업 552 180 40 25 66"
사업체,1987,232,3. 산업 중분류 및 시ㆍ도별 사업체수,232-W. 도•소매업 ⏐ 3. 산업중분류 및 시•도별 사업체수 ⏐ * 1표 명문 참조 ⏐ 전 국 서 울 부 산 대 구 인 천 광 주 경 기 ⏐ All cites Seoul Pusan Taegu Inchion Kwangju Kyingg ⏐ 산 업 676 609 483 98t 40 752 185 646 ⏐ 농업 •수렵업•임업및어업 71 요 1 8$ ⏐ 멉 및 수렵 23 : 일~ ⏐ 4 ⏐ 업 44 ⏐ 광 업 304 21 9 24 ㅍ2 298 ⏐ 텃 44 -
사업체,1987,233,3. 산업 중분류 및 시ㆍ도별 사업체수 (계속),"VI. Wholesale and Retall Trade -233 ⏐ 3. Number of Establishments by Province and Division of Industry ⏐ ※ See the headnote table 1 ⏐ 강 원 도 충청북도 충청남도 전라북도 전라남도 경상북도 경상남도 제 주 도 ⏐ • ⏐ Kiang won Ch'ungch ong Ch ungoh ong Cholla Challea Kyongsang Kyoingsang얧 ⏐ buk-do nam-do buk-do nam-do buk-do niam-do Cheju-do ⏐ 52 763 108 432 72 483 96 733 108 232 129 589 19 508 All mdustries ⏐ 38 2 ㅲ 57 bt 116 63 26 Agreouturs, forestry, huntng and ftehimng ⏐ 993 I0] ⏐ Fishing ⏐ 135 9 Mining"
사업체,1988,232,3. 산업중분류 및 시ㆍ도별 사업체수(1986),"광 주 경 기 ⏐ Kiwangjiu Kyonggi ⏐ 40 752 185 846 ⏐ 1 85 ⏐ 농업 및 수렵 522 23 ? ⏐ 임 1% ; ⏐ 어 업 ⏐ 광 업 21 9 "" "" 298 ⏐ 석 탄 업 44 •! 1 ⏐ 금 92 13 ⏐ 기 17 9 ⏐ 제 조 업 218 952 4 492 26 501"
사업체,1989,240,3. 산업중분류 및 시ㆍ도별 사업체수(1986),238-W 도 • 소매업 ⏐ 3. 산업중분류 및 시•도별 사업체수 (1986) ⏐ ※ 1죠 명문 참조. ⏐ 전 국 서 울 부 산 대 구 인 천 광 주 경 기 ⏐ All cites Seoul Pusan Taegu Inch'on Kwangju Kyongg ⏐ 젼 산 업 1 878 609 483 988 155 100 97 368 59 146 40 752 185 646 ⏐ 농업 • 수렵업 • 임업및어업 702 71 1 1 1 ⏐ 농업및 수렵 업 522 8.9 -. 11그 ⏐ 임 업 ⏐ 어 업 ⏐ 광 업 12 ⏐ L&t i §
사업체,1989,241,3. 산업중분류 및 시ㆍ도별 사업체수(1986) (계속),"VI Wholesale and Retail Trade -239늃 ⏐ 3. Number of Establishments by Province and Division of Industry ⏐ (1986) ⏐ ※ See the headnote table 1 ⏐ 강원도 충청북도 충청남도 전라북도 전라남도 경상북도 경상남도 제 주 도 ⏐ Kangs won Ch ungoh'ong Chi'imgch 'ing Cholla Cholla Kyongsang Kyongsang ⏐ buk-do nam-do buk-do nam-do buk-do nam~do Cheju-do ⏐ 88 871 52 763 108 432 72 483 88 733 108 232 129 588 18 508 All industries ⏐ 39 26 87 57 68 118 83 18 Agricuture, forestry, huntimg and tishing ⏐ 33 71 55 56 Agriculture and hunt ⏐ orestry and loggn ⏐ Trishmg옓"
사업체,1990,238,3. 산업중분류 및 시ㆍ도별 사업체수(1986),236- 도•소매업 ⏐ 3. 출불다규※ 및 하• 게 품꽃끝쁨보 (1986) ⏐ ※1층 코버고 할며 ⏐ 전 국 서 울 부 산 대 구 인 천 광 주 경 기 ⏐ All cities Seoul Pusan Taegu Inch'on Kwangju Kyonggn ⏐ 전 산 업 1 676 609 483 986 155 100 97 388 59 146 40 752 185 646 ⏐ 농업 •수렵업 • 임업 및어업 702 1 1 85 ⏐ 업 및수렵 522 23 ! ⏐ 1⅜습 i ⏐ 광 업 21 9 ⏐ 탄속 광 업 4?: - 1 ⏐ 광 업업 92
사업체,1990,239,3. 산업중분류 및 시ㆍ도별 사업체수(1986) (계속),"VI. Wholesale and Retall Trade -237늃 ⏐ 3. Number of Establishments by Province and Division of Industry ⏐ (1986) ⏐ ※ See the headnote table 1 ⏐ 강 원 도 충청북도 충청남도 전라북도 전라남도 경상북도 경상남도 제 주 도 ⏐ Kangs won Ch 'ungct'ing Ch imgch'ong Cholla Cholla. Kyongsang Kyongsang ⏐ buk-do nam-do buk-do nam- do buk-do nam-do Cheju-do ⏐ 86 871 52 763 108 432 72 483 98 733 108 232 129 589 18 508 All ndustries ⏐ 26 87 5? 68 116 63 18 Agriculture, forestry,humtimg and fishing ⏐ [옮 56 Agriculture and huntin ⏐ orestry and loggmn ⏐ Fishng"
사업체,1991,238,3. 산업 중분류 및 시ㆍ도별 사업체수(1986),236- VI 도• 소매업 ⏐ 3. 1불다슈찌 및 하• 비 돌뿍 뿍보 (1986) ⏐ ※1ㅊ 큰배☆ 찰버 ⏐ 전 국 서 울 부 산 대 구 인 천 광 주 경 기 ⏐ All cites Seoul Pusan Taegu Inch'on Kwangju Kyongg ⏐ 전 산 업 1 876 608 483 986 155 100 97 368 59 148 40 752 185 646 ⏐ 농업 • 수렵업•임업및어업 702 71 1 1 1 85 ⏐ 농업및 수렵 업 업 522 23 i _. ⏐ 임 34 함 ⏐ 어 업 146 ⏐ 8ㅶ ⏐ 광 업 2 655 164 9 12 298
사업체,1991,239,3. 산업 중분류 및 시ㆍ도별 사업체수(1986) (계속),"VI. Wholesale and Retall Trade -237 ⏐ 3. Number of Establishments by Province and Division of Industry ⏐ (1986) ⏐ ※ See the headnote table 1 ⏐ 강원도 충청북도 충청남도 전라북도 전라남도 경상북도 경상남도 제 주 도 ⏐ Kangs-won Ch'iungehoing Ch'ugch 'ong늉 Cholla Cholla Kyongsang Kyongsang ⏐ buk-do na:m-do buk-do nam-do buik-do nam-do Cheju-do ⏐ 68 871 52 763 108 432 72 483 86 733 108 232 129 589 19 508 All Idustries ⏐ 39 26 87 57 68 118 83 10 Agricuture, forestry, huntng and fishing ⏐ 34~ a& 55 4 Agriculture and hunt ⏐ orestry and loggi ⏐ Frishing"
사업체,1992,236,3. 산업 중분류 및 시ㆍ도별 사업체수(1991),"234-W 도•소매업 ⏐ 3. #다차* 및 하• 급게 등꽃습발보(1991) ⏐ ※ 1ㅊ 탐병고 활 ⏐ 전 국 서 울 부 산 대 구 인 천 광 중 대 전 경 기 ⏐ Whole ⏐ country Seoul Pusan Taegu Inch""on Kwangju Taejon Kyongg ⏐ 전 산 업 2 118 247 581 092 205 181 122 873 87 708 59 505 56 934 276 012 ⏐ 농업 • 수렵업• 임업및어업 1 120 87 107 12 4 8. 6 108 ⏐ 업 및 수렵 업 695 ㆀ13 g?! 51- ⏐ 업 122 ⏐ 업 303 ⏐ 광 업 2 650 28 60 274"
사업체,1992,237,3. 산업 중분류 및 시ㆍ도별 사업체수(1991) (계속),"V. Wholesale and Retall Trade - 235 ⏐ 3. Number of Establishments by Province and Division of Industry ⏐ (1991) ⏐ ※ See the headnote table 1. ⏐ 강 원 도 충청북도 충청남도 전라북도 전라남도 경상북도 경상남도 제 주 도 ⏐ Kangs won Ch'ungch'ong Chungch 'ong Cholla Cholla Ayongsang듏 Kyong sang ⏐ buk-do ram-do buk-do nam-do buk-do nam-dc ⏐ 76 424 64 132 76 887 88 382 103 931 126 246 188 891 24 049 All ndustries ⏐ 83 11? 109 134 116 98 60 Agricuture, forestry, huntng and fishing ⏐ 36 96 87 67 28 Agriculture and huntng ⏐ 15 38 Fesmig Forestry and logging ⏐ 32 38"
사업체,1993,252,3. 산업 중분류 및 시ㆍ도별 사업체수(1991),250 -VI. 도•소매업 ⏐ 3. 1*다* 및 카•급비 꽃#불 (1991) ⏐ ※ 1* 없번☆ 잘버 ⏐ 전 국 서 울 부 산 대 구 인 천 광 주 대 전 경 기 도 ⏐ Whole ⏐ country Seoul Pusan Taegu Inch’on Kwangju Taejon Kyonggi-do ⏐ 전 산 업 2 118 247 581 092 205 181 122 873 87 708 59 505 56 934 276 012 ⏐ 농업• 수렵업 • 임업및어업 1 120 87 107 1?. 4 8 6 108 ⏐ • 업및 수렵 업 695 27 • ⏐ 업 12? 6 ⏐ 업 303 54 99 ⏐ 광 업 2 650 160 28 17 60 12 9 274
사업체,1993,253,3. 산업 중분류 및 시ㆍ도별 사업체수(1991) (계속),"Vi. Wholesale and Retail Trade - 251 ⏐ 3. Number of Establishments by Province and Division of Industry (1991) ⏐ ※ See the headnote table 1. In each ⏐ 강원도 충청북도 충청남도 전라북도 전라남도 경상북도 경상남도 제 주 도 ⏐ Kangs won Ch'ungch ong Ch ungch 'ong늉 Cholla Cholla Kyongsang Kyong sang ⏐ buk-do nam-do buk-do nam-do buk-do ram-do옓 Cheju-do ⏐ 76 424 64 132 76 887 88 382 103 931 126 246 168 891 24 049 All industries얧 ⏐ ㄲ1 109 134 116 98 60 Agricuture, forestry, hunting and fishing ⏐ 57 8? 67 28 ⏐ [8 ⏐ Fishing ⏐ 146 1 090 123 7 Mining"
사업체,1995,270,3. 시ㆍ도별 사업체수 및 종사자수,"246 - VI 사업체 총괄, 도소매 및 서비스업 ⏐ 3. 시 •도별 사업체수 및 종사자수 ⏐ 단위 : 개, 명 ⏐ 전 국 서울특별시 부산광역시 대구광역시 ⏐ Whole Country Seoul Metropolitan City Pusan Metropolitan City Taegu Metropolitan City ⏐ 사업채수 종사자수 • 사업체수 종사자수 • 사업체수 종사자수 - 사업체수 종사자수 ⏐ Number of Number of Number of Number of ⏐ establish- Number of estabish- Number of establish- Number of [establish- Number of ⏐ ments workers ments workers mnents workers mments workers ⏐ 전 산 업 2 304 250 12 245 073 624 841 3 974 457 226 312 1 047 659 126 631 579 516 ⏐ 농업, 수렵 업 및 임 업 1? 7 225 38 839 7 70 7 1?2 ⏐ 농업,수렵업및관련서비스업 667 6 731 38 839"
