계열,판,쪽,표제목,header
시별인구,1957,58,30. 전국 시별 인구,"34ㅅ ㅁ ⏐ 2.•억터캡※ㅅ그※ (볶) (천원유42884⑨ㅒ 1 H뽀ㄾ) ⏐ Tota ⏐ Ku, City and Gun ⏐ Tota Male remale옓 Total ⏐ I54¼¥3 Hadong-Gun 113 542 $4 923 58 614 113 $28 ⏐ 155 Sancbong-Gun 92 312 44 691 47 621 92 311 ⏐ 156 #분 Hamnyang-Gun 99 408 50 879 99 397 ⏐ 157 Keocharg Gun 111 717 57 242| 111 706 ⏐ 153 Hyopchon-Gun 151 572 78 362 151 567 ⏐ 159 ㄿ \ Kangwon Do 1 496 301 857 803 638 498 1 495 755 ⏐ 160 굵 Chunchon-Caty 67 888 36 932} 30 956"
시별인구,1958,56,29. 전국시별 인구,S8A ⏐ 29.초뼈카벡A그 (월%균428809경1 F코#) ⏐ # ⏐ 라 Total ⏐ Citys ⏐ Total Male Fremiale Total ⏐ ※ Total 3 706 561 1 876 799 1 829 765 3 694 032 ⏐ 1 A 비 a Inchon 321 072 161 307 159 765 317 967 ⏐ 2 ☆ 배 닭 Suwon 81 692 40 682 41 010 81 304. ⏐ 3 ₩: 타 Chongju 81 284. 40 121 41 163 81 01 ⏐ 4 ㅊ 또타 Taejon 173 143 87 457 85 686 172 786 ⏐ 5 조 회 하 Chonju 124 352 59 914 64 438 124 116
시별인구,1959,56,27. 전국시별 인구,"24 ⏐ 25% # ⏐ Popalation, by Major ⏐ Total Faiming and fisiery Minirg Mamufacturing ⏐ Proviace 뽕 ㅉ Male Female ⏐ Total Male Temele Male J Femele IMale|Fem-le ⏐ 6,29,034 23,725 124,710 ⏐ ※ Total 8,993,226 4,771,997 4,221,229 3,086,324 3,142,76020.996 2,729 89,316 35,394 ⏐ Seoul Spec al City 433,910 341,189 92,727 8,666 4,182 1,046 15,435 ⏐ Gyeong-gido 967,738 517,912 439,826 337,562 325,656 828 9,252 ⏐ Chumgcheongbugio 534,770 274,162 260,608 210,637 211,757 1,839 498 2,824 581 ⏐ Chungcheongnamdo뎳 81,49 500,405 431,09 368,083 337,185 2,07 296 7,701 4,268"
시별인구,1960,45,9. 시별 인구[내용누락;p.23],내용누락 ⏐ - 23 -
시별인구,1961,45,36. 시별인구,Population 25 ⏐ 36라 ㅅ ⏐ POPULATYON BY CITES (Shi) ⏐ ㅅ Popuililon ㅅㅁ$ㅷ ⏐ 캐 ㅱ 대했(쭈가#) (1꾸½\붑) 주부ㅅ트I ⏐ . Ciy (shi) Area (sq.km) Households ☆ Density Average person ⏐ Total Male Female per sq. km) per househol ⏐ • #원 왔 Total 2 441.27 816 419 4 5$3 961 2 271 605 2.282 356 1 865.1 5.58 ⏐ 카 Incheon City 166.29 74975 402 009 202 316 199 693 2 428.8 5.50 ⏐ 카 Suweon City 23.35 16 498 90 806 45 241 45 565 3 888.9 5.50 ⏐ Cheongiu City 17.20 16 084 92 342 46 552 45 790 5 368.7 5.74 ⏐ 카 Chungiu City 9135 12 350 68 624 34 781 33 843 751.1 5.56
시별인구,1962,49,40. 시별 인구,"Population 31 ⏐ 39조사볶찌 ㅅ봤 ⏐ KOREAN OVBRSEAS ⏐ *※는 19614 125 30B 포표 루사에 콤소하는 복로ㅅ으로서아정3가 표가소업을 캐하여해출한 화회임. ⏐ This table is based on the survey for the Korean overseas carried out by the Ministry of Foreign Afairs and its overseas branches as of Decerber ⏐ 1, 1961. ⏐ 부소꽃 ⏐ Country 쪾 Total Number of Country Toial Number ⏐ students of students ⏐ ※본 Total 629 862 4771 아르젠티나Argentina ~ ⏐ •샘또해 Asia 614 577 과테마라 Guatemala ⏐ 트표야© Japan Free China 613 671 510 27 Europe 599 541"
시별인구,1963,40,34. 시별 인구,"22 ㅅㅁ ⏐ 33 월비슈카#쓰ㅅ0 A H ⏐ POPULATION BY PROVINCE (1962 YEAR END DE JURE POPULATION) ⏐ *있는 1962속 12년 1 B 평쇼의 속*소ㅅㅁ출*못임 Flgures are based on “Population Savey"" taken as of Dec 1.1962 ⏐ 26=(16폐)#출무 See the foot note, Table 26(P 16) ⏐ ㅅ XA표폐 * -차지밥 ⏐ 샤비카빛끝"" Population (1주)\쯉) 주워스트봤 ⏐ Province Area (5q km) (주H\) Household ☆ Denslty Average persons ⏐ Total Male Female (per sq km) per household ⏐ Total 98 431 4 539 071 26 277 635 13 145 289 13 132 346 267.0 5.79 ⏐ 서 울#빛다 Seoul Special city 613 554 136 2 983 324 1 477 421 1505 903 4 866 8 5.3€ ⏐ 쑈 Busan city 360 230 298 1 270 625 625 938 644 687 3 529 5 5.52"
시별인구,1966,45,39. 시별가구 및 인구수,"Populaton 27 ⏐ 38 치비다 및ㅅ * (1965) ⏐ HOUSEHOLD AND POPULATION BY PROVINCE ⏐ *는 소ㅊEㅅㅁ유로로 1965410키1터 동사평A로 해출된것 #)는 gK를 ☆개할때 하고 속표 스ㅁ를 1할는 26%(16m) ⏐ 의 사미초에 된 포하An를 활콤할것 ⏐ 큼쇼부요는 ☆지이며 하요는 #유동#※ #유소#라함은 코쇼E을 ※※으로 하여 -뜻한 ET에서 3ALㅏ B하였거나 콤ㅼ히려는 쪽를 말함 ⏐ 트 한 HD없이 그 몸#비법이 37에 불하지 아니하는 뽑는 해슐티피T에 개입하는 봉카에서 해출하였음 뼈투에 있어서는 부맛나 노독을 못음하고 쓸정 ⏐ 에 몸소하는 불와 뜻FT뜸#, A수E못있 쫄흑찜쫄쑥은 티에서 해하였음 사버시다 루ㅅ, 부품, 사준파, 최쭈하슴 또는 카뻐파서의 소조로 #꿀다인 ⏐ #및 그릇었은 쾌슐하지 않었음 ⏐ Tihs table 1s a result of Year-end Dejure Populaton Count, as of October 1, 1965 The fgures In this table refer to the populaton by admanistrative dis- ⏐ tticts, and please refer the Agures of estimated populaton shown in the Popalation Trends, Table 26, Page 16, for the population by year ⏐ The emumeraton unit Is households, and cover the dejure population The wording ""dejure popalation"" was defined as those persons who had or would have"
시별인구,1967,40,33. 시별 가구 및 인구,"22 ㅅㅁ ⏐ 32 믿하 및 ㅅㅁ ⏐ *※는 19664 10] 1E 통바터쇼를 보력으로 하여 스프RBAL+ A퍼서이 미치는 숲요지에 하는 스후곳료로 및 사러시이트 사러ㅅ다 표^, 주류,까쯔 ⏐ 빨과 폐폭주매습 또는 아B교서의 소정로 3EF *W의 품표H인 사람과 그 맑볶은 아되었음)을 용으로 확혀한 신서스#끗임. #라 함은 표콤소현에서 3BE ⏐ 다소 살았거나 앞으로 3버9L소 살 콤볶를 말하며 IM#는 핀소에서 해습하였으며 해출>있은 -#해출료와 4미해출으로 모습하여 -맛해출료에 있어서는 ⏐ 해할화성촉의 표소번에서, *바롬또하는 볶D가 없는 는 편조의 봇어에서 ※기일요로 *TE행감로 하였고 미행스료는 대무은 기곳또는 했, 하F, AA. ⏐ 용든, 활휴물 무요로 각각 -☆7로하여 쾌죠하였음. ⏐ #신개같치성금로서 #카기블뽀부, 채해쑠, 조사퇴소술의 파티과 그 촛겠은 DSA, 사카꼭 및 쑥화동과 1S해T에 해출하였음 ⏐ ※ㅁ는 와 카으로 묘수하였고 깃는 뜻을 소뜻으로 하는 다음 3미를 말함 ⏐ 가. (동4fF HL) FF미고는 행품없이 더축해야하는 *1H(E•잠을 승하여)300주L 노을 해야하는 맛디 ⏐ 나. (☆ 흡) 소나 말을 1마리시노(트 채했씨은 B사) 기르던가 돼지, 염소, 양쪽을 도합 3마리미스 기르던가 닭, 오리, 토끼쁨을 30마리니스 기르는 했미 ⏐ 다. (부주E7E4X) ㅵX을 티B으로 못빠이나 꽃밭, 또는 폭후씀의 4셔P4#)쯤, 버섯기르기, 누에치기 쪽으로 14BI지을 10,000원니노 언었던가 또는 꿀벌"
시별인구,1968,40,33. 시별 가구 및 인구,"2ㅅㅁ ⏐ 하ㅊ는 표ㅅ, 부표. 반쯔 ⏐ 파파 #소라 함은 퇴몬소에서 3퍼E ⏐ 니노 살았거나 앞으로 3티크 D도 살 좋는쪽를 말하여 AA뽑는 해습가쏘은 -#해할요와 *미해솔트로 토유하여 -#해표표에 있어서 ⏐ 는 채솔 충음의 #소백에서, #든 휴끔, ⏐ 소분, 쫄쭈물무쇼로 각각 -☆미로 하여 해출하였음 ⏐ 그표필통로서 1사#을찌투, ⏐ 하니는 ⏐ 가. (# fF 28) ⏐ 나. (☆ 흡) 양 뽑을 도합 3마리미노 기르던가 닭, 오리, 토끼뿐을 30마리있노 기르는 봤ㅁ ⏐ 다. 4분폰《F폼) 얻었 던가 또는 꿀벌 ⏐ 5통 보노을 치는 쌌ㅁ"
