series,edition,page,table,chapter,block,region,matched_by,col_idx,x,raw,value,conf,flag,row_text
인구,1957,48,24. 교육정도별 인구,III. 인구,전체,서울,en,0,0.423,7.27,7.27,1.0,,! 저울\겠다 Seoul 7.27 1.2 18:33 6.47 6.28 6.38
인구,1957,48,24. 교육정도별 인구,III. 인구,전체,서울,en,1,0.538,1.2,1.2,0.3,저신뢰,! 저울\겠다 Seoul 7.27 1.2 18:33 6.47 6.28 6.38
인구,1957,48,24. 교육정도별 인구,III. 인구,전체,서울,en,2,0.7206,6.47,6.47,0.3,저신뢰,! 저울\겠다 Seoul 7.27 1.2 18:33 6.47 6.28 6.38
인구,1957,48,24. 교육정도별 인구,III. 인구,전체,서울,en,3,0.8173,6.28,6.28,1.0,,! 저울\겠다 Seoul 7.27 1.2 18:33 6.47 6.28 6.38
인구,1957,48,24. 교육정도별 인구,III. 인구,전체,서울,en,4,0.9117,6.38,6.38,1.0,,! 저울\겠다 Seoul 7.27 1.2 18:33 6.47 6.28 6.38
인구,1957,48,24. 교육정도별 인구,III. 인구,전체,전북,en,0,0.5216,10.32,10.32,0.3,저신뢰,Cholla Pukd 10.32 10.42 10.42 10.92/ 10.94
인구,1957,48,24. 교육정도별 인구,III. 인구,전체,전북,en,1,0.62,10.42,10.42,0.5,,Cholla Pukd 10.32 10.42 10.42 10.92/ 10.94
인구,1957,48,24. 교육정도별 인구,III. 인구,전체,전북,en,2,0.7146,10.42,10.42,1.0,,Cholla Pukd 10.32 10.42 10.42 10.92/ 10.94
인구,1957,48,24. 교육정도별 인구,III. 인구,전체,전북,en,3,0.9055,10.94,10.94,1.0,,Cholla Pukd 10.32 10.42 10.42 10.92/ 10.94
인구,1957,48,24. 교육정도별 인구,III. 인구,전체,경북,en,0,0.5216,16.08,16.08,0.5,,Kyongsang Pukdo 16.08 16.21 13:3 16.87
인구,1957,48,24. 교육정도별 인구,III. 인구,전체,경북,en,1,0.7187,16.21,16.21,1.0,,Kyongsang Pukdo 16.08 16.21 13:3 16.87
인구,1957,48,24. 교육정도별 인구,III. 인구,전체,경북,en,2,0.9055,16.87,16.87,1.0,,Kyongsang Pukdo 16.08 16.21 13:3 16.87
인구,1957,48,24. 교육정도별 인구,III. 인구,전체,강원,en,0,0.5339,5 84,584,0.5,,Kangwon Do $5.93 5 84 6.45 6.45 1:83 1:82
