계열,판,쪽,표제목,header
인구,1957,48,24. 교육정도별 인구,"24ㅅ 다 ⏐ 23. 4 슈해 (전물,두급4289k+#) ⏐ 0 ~ 4밟 S ~9밟 ⏐ Total Years Years ⏐ Seoul and Provinre ☆ ☆ ☆ ⏐ Male Female얧 Male Female Male Fetaale얧 ⏐ % % 10.86) % 100.36 % ⏐ 불랐 Total 100.00 100.00 100.00 100. 00 ⏐ ! 저울\겠다 Seoul 7.27 1.2 18:33 6.47 6.28 6.38 ⏐ Kyon.ggi Do • 10.42 10.4 10.88 9.39 9.50 ⏐ 3 Chungohong Pukdo $.75 5.64 19:93 5.46 5.38 ⏐ 4 Chungchong Nando 10.49| 10.94 10.93"
인구,1957,50,25. 교육정도별 인구비율,2 A 다 ⏐ 16 ⏐ 25. 화#재팟비스디H직 (1유건4289##) ⏐ Uaattendung얧 ⏐ Total Korea3 ⏐ Seoul and Province Unknowa ⏐ ☆ ⏐ Male Female얧 Male Female iiale Femnale ⏐ 10.88 103.08 % 10.6 103.09 ⏐ 봤 Total 100.00| 100. 00 ⏐ 1 서울#넣다 Seoul 10:2 3.31 3.43 ⏐ 2 Kyon.ggs Do 10.84 11.40
인구,1958,52,25. 교육정도별 인구,"§4ㅊ a ⏐ 24. 쇼 예습 \사마바주 (천활%군42904:#(봉1) ⏐ 0 !4량 5 9밥 ⏐ 43 Seoul aid plovinee얧 빛. # Total Years Years ⏐ Miaie ⏐ Total Female Male Female Male Female| ⏐ 100% 13.63 14.53 ⏐ 100.00 100. 0상 14.051 13. 21 15.45 13.65 ⏐ 불 Total 100.00% 100.00% 100-00 100.00% 100.00% 100.00% 100.00% ⏐ 서울# 닭 Seoul 7.81 7.82 7.81 7.05 6.95 6.79 6.89 ⏐ Kyonggi Do 10.45 10.43 10. 45 10. 95 10.92 9,50 9.67 ⏐ 3 #해#하 Chungchong Pukto 5.67 5.74 5.62 6.23 6.07 5.59 5.48"
인구,1958,54,26. 교육정도별 인구비율,"36 A ⏐ (천%24290소※ 로 #) ⏐ 커 럼 부 : Not Attending ⏐ 4줌 Swows tnd Brorinee Total & Korean ⏐ $ Kzowz Umicowi ⏐ ☆ 부 ⏐ Male Hemale Male Female Male Female ⏐ 100.00 27.27 33.70 ⏐ 100. 00 1¢0-00 24.86 29.59 28.48. 38-73 ⏐ 홍 Total 100.00% 100.00% 100.00% 100.00% 100-00% 100•00%) 100-00% ⏐ 2 저울수를해tt Seoul 7,81 7.81 2.52 3.81 5.53 4.76 ⏐ 월 Kyonggi Do 10.44 10.45 10.60 11.11 10.67 9-42"
인구,1959,54,23. 교육정도별 인구,"22 ⏐ 22. 4 ㅅ ⏐ Percentage Distribution of Population,\ ⏐ 20.~ 24평 25~ 29% 30.~ 34 ⏐ Tears Years Yeers ⏐ Province Male Female옓 Male Femzle Male ㅣ Female ☆ ⏐ 축 Percentage to total popilation 7.49 8.58 5.99 ⏐ 3 Tatal 65.0 8.46 7.43 6.45 ⏐ 100% 100% 100% 100% ⏐ Seou.] Specral City 9.69 9.63 9.50 9.97 ⏐ Gyearg-gido 70.33 10.89 10.22 '10.48 ⏐ ₩ Chuigcheongbugdo 5.56 5.49 5.39 5.26 5.28 5.27"
인구,1959,54,24. 교육정도별 인구비율,"22 ⏐ 22. 4 ㅅ ⏐ Percentage Distribution of Population,\ ⏐ 20.~ 24평 25~ 29% 30.~ 34 ⏐ Tears Years Yeers ⏐ Province Male Female옓 Male Femzle Male ㅣ Female ☆ ⏐ 축 Percentage to total popilation 7.49 8.58 5.99 ⏐ 3 Tatal 65.0 8.46 7.43 6.45 ⏐ 100% 100% 100% 100% ⏐ Seou.] Specral City 9.69 9.63 9.50 9.97 ⏐ Gyearg-gido 70.33 10.89 10.22 '10.48 ⏐ ₩ Chuigcheongbugdo 5.56 5.49 5.39 5.26 5.28 5.27"
인구,1960,40,5. 교육정도별 인구,"요8--ㅅ ⏐ 5. 환 ⏐ Population, by Educational ⏐ ㅈ ⏐ 13 뼈 * ⏐ Total Under 12 ⏐ Province ⏐ Male ☆ ☆ ⏐ Total Female Total Male Female얧 ⏐ Total 22 973 992 11 334 429 11 639 563 5 633 315 2 856 700 2 776 615 ⏐ Seoul Special City 1 03500: 1 058 966 416 320 214 424 201 896 ⏐ Cyeong- gido ( 203 07 1 243 923 606 10? 307 274 298 828"
인구,1960,40,6. 교육정도별 인구비율[내용누락;p.19],"요8--ㅅ ⏐ 5. 환 ⏐ Population, by Educational ⏐ ㅈ ⏐ 13 뼈 * ⏐ Total Under 12 ⏐ Province ⏐ Male ☆ ☆ ⏐ Total Female Total Male Female얧 ⏐ Total 22 973 992 11 334 429 11 639 563 5 633 315 2 856 700 2 776 615 ⏐ Seoul Special City 1 03500: 1 058 966 416 320 214 424 201 896 ⏐ Cyeong- gido ( 203 07 1 243 923 606 10? 307 274 298 828"
인구,1961,40,29. 도별가구 및 인구,20ㅅ ㅁ ⏐ 29비ㅁ및 ㅅㅁ” ⏐ HOUSEHOLDS AND POPULATION BY PROVINCES ⏐ It:F In thousands ⏐ ㅅ ㅡ*ㅁ주₩ㅅ티 ⏐ #밍커및 끝비 Households Populaiion Av. persons per household ⏐ Province 1955 1960 1949 1955 1960 1955 1960 ⏐ ※원 왔 Total 3807 4 383 20 189 21 527 24 994 5.65 5.7C ⏐ 서 울#비t Seoul Special City 283 1 446 1 575 2 445 5.56 5.47 ⏐ Gyeonggi-do 416 2741 2 364 2758 568 5.59 ⏐ Chungcheong-bug-do 212 232 1 192 1 369 5.62 5.90 ⏐ Chungcheong-nam-do 378 416 2 223 2 526 5:88 6.17
인구,1961,40,30. 도별인구분포,20ㅅ ㅁ ⏐ 29비ㅁ및 ㅅㅁ” ⏐ HOUSEHOLDS AND POPULATION BY PROVINCES ⏐ It:F In thousands ⏐ ㅅ ㅡ*ㅁ주₩ㅅ티 ⏐ #밍커및 끝비 Households Populaiion Av. persons per household ⏐ Province 1955 1960 1949 1955 1960 1955 1960 ⏐ ※원 왔 Total 3807 4 383 20 189 21 527 24 994 5.65 5.7C ⏐ 서 울#비t Seoul Special City 283 1 446 1 575 2 445 5.56 5.47 ⏐ Gyeonggi-do 416 2741 2 364 2758 568 5.59 ⏐ Chungcheong-bug-do 212 232 1 192 1 369 5.62 5.90 ⏐ Chungcheong-nam-do 378 416 2 223 2 526 5:88 6.17
