series,edition,page,table,chapter,block,region,matched_by,col_idx,x,raw,value,conf,flag,row_text
임야,1972,132,61. 영림서 및 시ㆍ도별 임야,VI. 농업ㆍ임업 및 수산업,전체,경기,ko,0,0.2853,686 919,686919,1.0,,강충충전전경경기 원 686 919 39 101 29 985 9 116 •647 818 81 876 25 942 55 934 565942
임야,1972,132,61. 영림서 및 시ㆍ도별 임야,VI. 농업ㆍ임업 및 수산업,전체,경기,ko,1,0.3593,39 101,39101,1.0,,강충충전전경경기 원 686 919 39 101 29 985 9 116 •647 818 81 876 25 942 55 934 565942
임야,1972,132,61. 영림서 및 시ㆍ도별 임야,VI. 농업ㆍ임업 및 수산업,전체,경기,ko,2,0.4928,29 985,29985,1.0,,강충충전전경경기 원 686 919 39 101 29 985 9 116 •647 818 81 876 25 942 55 934 565942
임야,1972,132,61. 영림서 및 시ㆍ도별 임야,VI. 농업ㆍ임업 및 수산업,전체,경기,ko,3,0.5667,9 116,9116,1.0,,강충충전전경경기 원 686 919 39 101 29 985 9 116 •647 818 81 876 25 942 55 934 565942
임야,1972,132,61. 영림서 및 시ㆍ도별 임야,VI. 농업ㆍ임업 및 수산업,전체,경기,ko,4,0.6448,818,818,1.0,,강충충전전경경기 원 686 919 39 101 29 985 9 116 •647 818 81 876 25 942 55 934 565942
임야,1972,132,61. 영림서 및 시ㆍ도별 임야,VI. 농업ㆍ임업 및 수산업,전체,경기,ko,5,0.692,81 876,81876,0.3,저신뢰,강충충전전경경기 원 686 919 39 101 29 985 9 116 •647 818 81 876 25 942 55 934 565942
임야,1972,132,61. 영림서 및 시ㆍ도별 임야,VI. 농업ㆍ임업 및 수산업,전체,경기,ko,6,0.7618,25 942,25942,1.0,,강충충전전경경기 원 686 919 39 101 29 985 9 116 •647 818 81 876 25 942 55 934 565942
임야,1972,132,61. 영림서 및 시ㆍ도별 임야,VI. 농업ㆍ임업 및 수산업,전체,경기,ko,7,0.8296,55 934,55934,0.5,,강충충전전경경기 원 686 919 39 101 29 985 9 116 •647 818 81 876 25 942 55 934 565942
임야,1972,132,61. 영림서 및 시ㆍ도별 임야,VI. 농업ㆍ임업 및 수산업,전체,경기,ko,8,0.8891,565942,565942,0.5,,강충충전전경경기 원 686 919 39 101 29 985 9 116 •647 818 81 876 25 942 55 934 565942
임야,1972,132,61. 영림서 및 시ㆍ도별 임야,VI. 농업ㆍ임업 및 수산업,전체,서울,ko,0,0.1785,353 156,353156,0.5,,서울영 림서 353 156 277 046 82 512 138 925 55 609 28 436 17 477 4 396 6 563 47 674
임야,1972,132,61. 영림서 및 시ㆍ도별 임야,VI. 농업ㆍ임업 및 수산업,전체,서울,ko,1,0.2464,277 046,277046,1.0,,서울영 림서 353 156 277 046 82 512 138 925 55 609 28 436 17 477 4 396 6 563 47 674
임야,1972,132,61. 영림서 및 시ㆍ도별 임야,VI. 농업ㆍ임업 및 수산업,전체,서울,ko,2,0.3183,82 512,82512,1.0,,서울영 림서 353 156 277 046 82 512 138 925 55 609 28 436 17 477 4 396 6 563 47 674
임야,1972,132,61. 영림서 및 시ㆍ도별 임야,VI. 농업ㆍ임업 및 수산업,전체,서울,ko,3,0.3798,138 925,138925,1.0,,서울영 림서 353 156 277 046 82 512 138 925 55 609 28 436 17 477 4 396 6 563 47 674
임야,1972,132,61. 영림서 및 시ㆍ도별 임야,VI. 농업ㆍ임업 및 수산업,전체,서울,ko,4,0.4538,55 609,55609,0.3,저신뢰,서울영 림서 353 156 277 046 82 512 138 925 55 609 28 436 17 477 4 396 6 563 47 674
임야,1972,132,61. 영림서 및 시ㆍ도별 임야,VI. 농업ㆍ임업 및 수산업,전체,서울,ko,5,0.5729,28 436 17 477,2843617477,1.0,과병합의심,서울영 림서 353 156 277 046 82 512 138 925 55 609 28 436 17 477 4 396 6 563 47 674
