계열,판,쪽,표제목,header
임야,1972,132,61. 영림서 및 시ㆍ도별 임야,"130-농업 • 임업 및 수산업 ⏐ 61. 영림서 및 시 • 도별 임야 ⏐ AREA of FOREST LAND by ADMINISTRATIVE DISTRICT ⏐ 단위 : 정보 In Jeongbo ⏐ 국 Nationai forest 유 림 Ciil owned forest ⏐ 총계 계 산 Jnder Ofice of Forestry Under custod 청 소 관 (타부처소곡 공 유 림 사 유 림 ⏐ 계 ⏐ 보 존|불 보 존 of the other Public owned 도유림|군유림 Private옓 ⏐ Total Totai To be To be governmert Total forest Province Gun owned , owned forest ⏐ managed disposed authorities owned forest forest ⏐ 111110 0999gg 806677 078901 6 667 570 1 269 906 835 967 298 824 135 115 5 397 664 501 477 143 155 358 322 4 896 187 ⏐ 6 695 461 1 316 560 881 987 296 536 138 037 5 378 901 500 091 138 010 362 081 4 878 810"
임야,1973,132,61. 영림서 및 시ㆍ도별 임야,130-농업 • 임업 및 수산업 ⏐ 61. 영림서 시 •도별 임야 ⏐ AREA of FOREST LAND by ADMINISTRATIVE DISTRICT ⏐ 단위 : 정보 in Jeongbc ⏐ 유림 Notonal toresi 류 Cm oylodl horon ⏐ 총 계 산림청소관 Under| 타부처 소괸 사 유 림 ⏐ Ofice ot Forestry Under custod 계 Public owned farest ⏐ 보 존 | 불보존 lof the othe Private ⏐ Total Sub-total To be To be vernme Sub-total 49 515omg 308 ⏐ managed | djsposed | thorit ⏐ 11 g우 6 682 576 1 318 614 885 912 295 721 136 981 5 363 962 ⏐ 6 666 540 1 287 217 884 596 272 668 129 953 5 379 323 493 312 144 817 348 495 4 886 011
임야,1974,90,46. 영림서 및 시ㆍ도별 임야,90-농업 • 임업 및 수산업 ⏐ 46. 영림서 및 시•도별 임야 ⏐ AREA of FOREST LAND by ADMINISTRATIVE DISTRICT ⏐ 단의 : 정보 ha lecnbo ⏐ 유럽 Nafional Foresi 림 Civil owned forest ⏐ 총 계 Unde 공 유 림 사유 림 ⏐ 계 Ofice of Forestr Public owned forest ⏐ 요존림 불요존림이 the 도 유 림 치·군유림 Private ⏐ Total Sub-tatal Sub-toidl Province St• Gun own- owned forast ⏐ 1 9 7 6 666 540 1 287 217 884 596 272 668 managed 323 493 312 lowned forest) ed forest 144 817 348 495 4 886 0Tl ⏐ ㄱ 6 666 609 1 295 705 211 영&료 494 145 144 478 349 667 4 876 759 ⏐ 7 6 651 669 | 297 708 885 915 317 527 501 380 146 128 355 252 4 852 581
임야,1975,94,46. 영림서 및 시ㆍ도별 임야,92-농업 • 임업 및 수산업 ⏐ 46. 영림서 및 시 • 도별 임야 ⏐ AREA of FOREST LAND by ADMINISTRATIVE DISTRICT ⏐ 단위 :정보 ln leongb ⏐ 국유림 Nationgl forest 유 림 Civil owned forest ⏐ 종 제 (산림청소관 Underl 타부처소관 공 유 림 사 유로 ⏐ 계 Office of ForestryUnder custody 계 Public owned forest ⏐ 요존림 (불요존림 of the other 도유림시•군유로 Private ⏐ Total Sub-total To be To be government Sub-total Province Si •Gun ow- owned tore ⏐ managed disposed authorities owned forest ned forest( ⏐ { ??길 6 666 609 1 295 705 881 200 314 211 100 294 5 370 904 494 145 144 478 349 667 4 876 7 ⏐ 6 651 669 1 297 708 885 915 317 527 94 266 5 353 961 501 380 146 128 355 252 4 852 5
임야,1976,96,48. 영림서 및 시ㆍ도별 임야,94-농업 • 임업 및 수산업 ⏐ 48. 영림서 및 시 • 도별 임야 ⏐ Area of Forest Land by Administrative District ⏐ ※ 미조사 면적이 총계란에 포함되어 있으므로 세부내용과 총계가 일치하지 않음. ※ Detanls do not add up to total dve to inctusion of unsurveyed area ⏐ 단위 : 정보 In Jeonebe ⏐ 국 유림 National forest 민 유 림 CMI owred Forest ⏐ 총 계 [산림청소관 Under 타부처소관 유 유 렴 ⏐ 계 Offise of Forestry 계 ⏐ 요존림 |불요존림 팀시•군유림 ⏐ Total Total To be d | Bispised eneir aonsrimie To be Total ourte sresh rnes Krem owlimes fsrer Province Privcte ⏐ 9 5 651 6691 1 297 708 895 915 317 527 94 266. 5 353 961 501 33( 46 12: 355 252 4 852 581 ⏐ • ㄱ ^ S 641 040 1 303 272 882 635| 318 425 102 20e 5 337 7681 500 04 :46 44. 353 601 4 837 720
임야,1977,138,67. 영림서 및 시ㆍ도별 임야 면적,138-농 •림 • 어업 ⏐ 67. 영림서 및 시 • 도별 임야면적 ⏐ Area of Forest Land by Administrative District ⏐ ※ 협치동서 명점요 중제간에 조합되어 있으므로 세우네용과 하제가 ※ Doli do ror otd up to tord die o ialsion of wmuronod crea. ⏐ 단위 : ha hn ha ⏐ 국유리 Natioal forest 민 유 ⏐ 총 계 사림청속팥. nter (타부처소 ⏐ Office of Forestry 계 Public owned Forest ⏐ 요 존 림불요존림 관 Under 도 유 림시 •쿤 ⏐ of othe custod) 유 림 ⏐ 1?3상 ⏐ 9 7 6
임야,1978,142,67. 영림서 및 시ㆍ도별 임야 면적,"i42-농림 •어업 ⏐ 67. 영림서 및 시 • 도별 임야면적 ⏐ Area of Forest Land by Administrative District ⏐ ※ 미존사 면적이 총경란에 포함되어 있으므로 세부내용과 Details do not add up_to total due to inclusion of unsurveyed ⏐ 총계가 일치하지않음. ⏐ 단위 : ha In ha ⏐ 국휴림 National Foresr 민 유 림 Cril ownad Forest ⏐ 총 계 산림청소관 Under' 타부ㅊ 처' 공 유 림 사유림 ⏐ 계 Dffice of Forestry, 소 소 관 계 Public owned forest ⏐ 요존림 물존 요 Linder |도유림 1시 •군 ⏐ 림 custody 유림 ⏐ of other"
임야,1979,138,67. 영림서 및 시ㆍ도별 임야 면적,138-농림 • 어업 ⏐ 67. 영림서 및 시 • 도별 임야면적 ⏐ Area of Forest Land by Administrative District ⏐ ※ 미조사 면적이 총제란에 포함되어 있으므로 세부내용과 ※ geci's do not odd up to toial duo ro idlision of unsurwored ⏐ 종계가 일지하지않음.. ⏐ 국유리 National forest 민 유 ci owned foresi ⏐ 총 계 산림청소관 Under 타부처 ⏐ 계 Office of Forestry 소관 계 Public ourad forest 사유림 ⏐ 요존림 꿀 곱 Under 도유릴 쉬•곱 ⏐ custody ⏐ of othet ⏐ Protite siuneg Private
임야,1980,136,66. 영림서 및 시ㆍ도별 임야 면적,66. 영림서 및 시 • 도별 임야면적 ⏐ ※ 미존사 면적이 총계란에 포함되어 있으므로 세부내용과 ※ Details do not add up to total due to inclusion of unsurveyed ⏐ 총계가 일치하지 않음. area. ⏐ 단위 : ha In ha ⏐ 국 민 휴 림 Cuil owned forest ⏐ 총 계 공 ⏐ 계 제 사유림 ⏐ Public owned forest ⏐ 도유림 시 •군 ⏐ 요존림 유림 ⏐ To be Province Si Gun Private ⏐ Sub-total owned owned forest
임야,1981,144,30. 영림서 및 시ㆍ도별 임야 면적,"144 - N. 농립 · 어업 ⏐ 30. 영림서 및 시•도별 임야면적 ⏐ Area of Forest Land by Administrative District ⏐ * 미조사 면적이 동기란에 포함되이 있으""로 세부내용아 ※ Deails rho not add up to toral due to inchusion of unsurveyed ⏐ 총계가 일치하지 않음. are&, ⏐ 단위 :1,000 km Im 1000m ⏐ 국 유 림 National forest 민 유림 Non-national ⏐ 총 계 ⏐ 계 계 유 림 사 유 림 ⏐ Pubhc owed forest ⏐ 요존림 불요존립 Uinder 도유림 시•군 ⏐ the other Provance si Gu 유 Private"
임야,1982,144,30. 영림서 및 시ㆍ도별 임야 면적,144-IV. 농립 어업 ⏐ 30. 영림서 및 시•도별 임야면적 ⏐ Area of Forest Land by Administrative District ⏐ ※ 미조사 면적이 총계란에 포함되어 있으므로 세부내용과 ※ Details do not add up to total due to mclusion of uitsurveyed ⏐ 총계가 일치하지 읺음 area. ⏐ 단위 1000 ka In.1000la ⏐ 국 유 림 National forest 민 유 림 Non-natonal ⏐ 총 계 산림 청소관 Under 공 유~ 림 ⏐ 계 탈부처 계 사유림 ⏐ Office of Forest 관 Pubhc owed forest ⏐ 도유림싱•쿨 ⏐ 요존림 불요존림 Under 유
임야,1983,144,29. 영림서 및 시ㆍ도별 임야 면적,144- M 농림 어업 ⏐ 29. 영림서 및 시 • 도별 임야면적 ⏐ Area of Forest Land by Administrative District ⏐ ※ 니소가 멱석이 손계란에 포함되어 있으!3. 세부내운이 x Detals do not ald up to roral du to melusson of usurseyed ⏐ 동계가 일치하지 읺음 area ⏐ 니위 1000 la L1 1000ta ⏐ 국 유 림 Natonal forest 민 유 림 Non-national ⏐ 총 계 공 유 ⏐ 계 산림청소관 Lnder -단부천 계 사 유림 ⏐ Office_of Forest Pubhc owed forest ⏐ 요존림 불요존림 .Under 도 유 림 시 •군 ⏐ the other 유 림 Private
임야,1984,136,32. 영림서 및 시ㆍ도별 임야 면적,"136- I. 농립- 어업 ⏐ 32. 영림서 및 시• 도별 임야면적 ⏐ Area of Forest Land by Administrative District ⏐ ※ 미조사 면적이 종계란에 포함되어 있으므로 세부내용과 ※ Details do not add up to total due wo Inelusion of unsurveyed ⏐ 총계가 일치하지 않음. arean ⏐ 단위 : 1000 ha In 1000ha ⏐ 국 유 림 Natronal forest 민 유 림 Non-natonal ⏐ ^~ 총 계 ""ㆄ 유 ⏐ 계 졔 림 사유림 ⏐ Office of Forest Puble owned forest ⏐ 요존림 불요존림 Under ⏐ Indis- the other Privati"
임야,1985,136,32. 영림서 및 시ㆍ도별 임야 면적,"136-IN 농림• 어업 ⏐ 32. 영림서 및 시 • 도별 임야면적 ⏐ Area of Forest Land by Administrative District ⏐ ※ 미조사 면적이 총계란에 포함되어 있으므로 세부내용과 ※ Detalls do not add up to total due to mnclusion of unsurveyed ⏐ 종계가 일치하지 않음 area ⏐ 단위 1000 ka In 1000kc ⏐ 계 국 유 림 Natronal forest 민 유 림 Non-natronal ⏐ 총 ⏐ 사림청소관 Under 공 유 림 ⏐ 계 Offce of Forest 탓부최 계 Publhc ouned forest 사유림 ⏐ 관 ⏐ 요존림 불요존림 Under 도 유 림징."""
