series,edition,page,table,header
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,"42-인 구 ⏐ 13. 시 • 도별 가구 · 인구 및 주택1p) ⏐ NUMBER of HOUSEHOLDS, POPULA TION and HOUSING by PROVINCE:1970 ⏐ 가 Hoirsblots + 인 구 주 택 ⏐ Population Housing unt ⏐ 계 한국인 계 한 국 인 의 국 인 계 현주 '공가 ⏐ 계 Korean 남 여 남 Ocew- ⏐ Total Korean Totai Both sexes Male Female Foreigners Male Total pled Vacant ⏐ 전국 5 864 330 5 857 861 31 469 132 31438 768 15 762 854 15 675 914 30 364 16 069 4 442 961 4 369 359 73 602 ⏐ 서울특별시 Whole country 1 097 432 1 095 223 5 536 377 5 525 884 2 756 572 2 769 312 10 493 5 608 596 754 586 201 10 553 ⏐ City of Seoul ⏐ 부 산시 371 940 371 295 1 880 710 1 877 213 939 530 937 683 3 497 1 826 212 568 207 410 5 158"
주택,1972,46,16. 구ㆍ시ㆍ군별 가구ㆍ인구 및 주택,44-인구 ⏐ 16. 구•시 •군별 가구•인구 및 주택》P) ⏐ 가 Holsehot 구 일 구 주 택 Household by type of 거처별가구 ⏐ Population Housing unt lwing quarter_ ⏐ 한 국 인 외 국 인 ⏐ 한국인 계 Korean Forergner 계 현 주 공기 주택 주택이외 ⏐ Total Korean Total 계 남 여 계 Total Occupled Vacant Housing untthousing unilt Other than ⏐ Both sexes Mcle Female Both sexesi Male ⏐ 전 국 5864330 5857861 31469132 31438768 15 762 15 675 30 364 16 069 4442961 4369359 73 602 5814254 50 076 ⏐ Whole country 854 ⏐ 1097432 1095223 5 536 377 5 525 884 2756572 2769312 10 493 5 608 596754 586 201 10 553 1074952 22 480 ⏐ 40 121 39 878 217 296 216 138 104 965 111 173 1 158 618 24 995 24 451 544 38 947 1 174
주택,1973,44,13. 시ㆍ도별 가구ㆍ인구 및 주택 : 1970,"42-인구 ⏐ 13. 시 • 도별 가구 • 인구 및 주택 : 1970 ⏐ NUMBER of HOUSEHOLDS, POPULATION and HOUSING UNIT by PROVINCE : 1970 ⏐ ※ 1970년 총 인구 및 주택조사 자료임 ※ Dcia are based on 1970 Population ond Housing Cantus ⏐ 가 구 인 구 ⏐ Household Population Living quarter ⏐ 계 한국인 계 한 KOreOn 인 외 국 인 계 주택 [주택 이 외 ⏐ Foreigners Other ⏐ Boi, 정0K0s Mo 여 계 남 여. Housing than ⏐ Total Korean Total Female Both Male Female Total unifs housing ⏐ Nholocom 국: 588544058569011465654 31 435 25215779 615 15 655 637 30402 16062 14 3404 414 7524 359 962 54 790 units ⏐ 서울특별시 1 096 871 1 094 648 5 535 725 5 525 262 2 762 190 2 763 072 10 463 5 596 4 867 607 379 583 612 23 767"
주택,1973,46,16. 구ㆍ시ㆍ군별 가구ㆍ인구 및 주택 : 1970,44-인 구 ⏐ 16. 구 •시 •군별 가구• 인구 및 주택 : 1970 ⏐ ※ 폭별조사구 인구 재외 ⏐ 가 구 Household 인 ⏐ 계 한 국 인 한 국 인 Korean ⏐ Totdl Korean Total 계 남 ⏐ Female ⏐ 국시구구구구구구구구구시구구구구구구도시구구구구시시군군군군군군군군군군군군군군군군군군군도시시시시군군군군군군군군군군군군군 군군도시시 5 863 44 856 ⏐ 울 특별 1 096 87 094 ⏐ 로 40 034 %% ⏐ 24 764 ⏐ 대 149 565 149 • 189 533
주택,1974,42,13. 시ㆍ도별 가구ㆍ인구 및 주택 : 1970,"42-인 구 ⏐ 13. 시 • 도별 가구 • 인구 및 주택 : 1970 ⏐ NUMBER Of HOUSEHOLDS, POPULATION and HOUSING UNIT by PROVINCE ⏐ ※ 1970년 총 인구 및 주별조사 자료임 ※ Data are based on 1970 Popularion and Housing Census ⏐ 가 구 인 구 거 처 ⏐ Porulaton Living_quarter ⏐ 한국인 게 한 국 인 외 국 인 계 주택 ! 이 외 7 추택 ⏐ Housetold Korean Foreigners Other ⏐ Korean Tetal 계 남 요 계 남 여 Housing thon ⏐ Both sexes Male Female Both Male Femaie Total Units housing ⏐ seXes Units ⏐ Mholocounty 국 5863440 5850 901 31 485 54 31 435 252 15 779 615 15 855 637 30 402 16 062 14 340 A 414 752 4 359 962 54 790"
주택,1974,44,16. 구ㆍ시ㆍ군별 가구ㆍ인구 및 주택 : 1970,44-인 구 ⏐ 16. 구•시 • 군별 가구• 인구 및 주택 : 1970 ⏐ X 특별 조시구 인구 제외 ⏐ 가 구 인 구 ⏐ 한 국 계 극 인 Korean ⏐ Hcusehold Korean Totcl 지 남 여 ⏐ Male Female ⏐ 전 국시구구구구구구구누구시구구구구두구도시구구쿠두시시꾼군군군군군군군군군군군군군군군군군군도시시시시군군군군궁군군군군군군군군군군도시시 5 863 440 5 856 901 30 882 386 15 199 940 15 652 044 ⏐ 웁 특별 1 096 87 1 094 648 5 433 198 2 660 533 2 762 202 ⏐ 로 40 034 39 794 211 796 210 638 99 778 110 860 ⏐ 24 764 24 294 133 880 131 163 63 014 68 149 ⏐ 대 동문 149 565 149 432 724 189 723 533 357 137 366 396
주택,1975,44,13. 시ㆍ도별 가구ㆍ인구 및 주택:1970,"42-인구 ⏐ 13. 시 • 도별 가구 • 인구 및 주택:1970 ⏐ NUMBER of HOUSEHOLDS, POPULATION and HOUSING UNITS by PROVINCES ⏐ ※ 1970년 종인구 및 주택조사 자료임 ※ Data are based on 1970 Population and Housing Census ⏐ 인 구 거 처 ⏐ 가 구 Population Living quarters ⏐ 한국인 계 한 국 인 외 인 계 주택 이 수 오 ⏐ Korean Foreigners Other ⏐ Households 계 남 Fsindlo 계 남 여 | Housing thon ⏐ Korean Total Both sexes Male Both Male I Female Total units hous ing ⏐ sexes I units ⏐ 전 국 5 863 440 5 856 901 3| 465 654 3| 435 252 15 779 615 15 655 637 30 402 16 062 14 340 4 414 752 4 359 962 54 790"
주택,1975,46,16. 구ㆍ시ㆍ군별 가구ㆍ인구 및 주택:1970,44-인 구 ⏐ 16. 구 •시 • 군별 가구 • 인구 및 주택 : 1970 ⏐ ※ 독별 조사구 인구 제외 ⏐ 가 구 인 구 ⏐ 한국인 계 한 국 Korean ⏐ Households ⏐ Korean Total 계 남 여 ⏐ Both sexes Male Female ⏐ 국시구구구구구구구##시구우구구구구도시구구구구시시는군군군군군군군군군군한군군군군군군눈도시시시시군군군군군군군군군군군군둔군군도시시 863 44 5 856 90 386 30 851 984 15 199 940 15 652 044 ⏐ 특 별 096 87 1 094 648 198 5 422 735 2 660 533 2 762 202 ⏐ 40 034 39 794 796 210 638 99 778 110 860 ⏐ 24 764 .24 294 880 13| 163 63 014 68 149
주택,1976,38,14. 구ㆍ시ㆍ군별 가구ㆍ인구 및 주택,36-인 구 ⏐ 14. 구•시 • 군별 가구• 인구 및 주택 ⏐ 5 센셔스 자료임 ⏐ 가 구 인 구 ⏐ Household ⏐ 계 한 국 인 외국 인 계 남 여 한 ⏐ Total Korean Forelgner Both sexes Male옓 Female Both sexes 계 ⏐ 1 97 0) 5 863 440 5 856 901 6 539 30 882 386 15 216 002 15 656 384 30 851 984 ⏐ 1 97 52)0 6 763 814 6 757 221 6 593 34 708 542 17 451 946 17 256 596 34 680 644 ⏐ 서 특별 시 1 410 748 1 408 417 2 331 6 889 470 3 429 218 3 460 252 6 879 149 ⏐ 종 로 67 740 67 599 141 334 329 164 470 169 859 333 440 ⏐ 58 116 57 470 646 284 705 142 919 141 786 281 533
주택,1977,42,15. 구ㆍ시ㆍ군별 가구ㆍ인구 및 주택,42-인 구 ⏐ 15. 구 • 시 • 군별 가구 • 인구 및 주택 ⏐ ※ 센서스 자료임 ⏐ 가 구 Household 인 구 ⏐ 계 한국인 |외국인 계 남 여 한 ⏐ Total Korean Forelgner Both sexes Male Female ⏐ Both sexes_ ⏐ 1 9 7 01 5 863 440 5 856 901 & 539 30 882 386 15 216 002 15 666 384 30 851 984 ⏐ 1 9 7 52)0 6 763 814 6 757 221 6593 34 708 542 17 451 946 17 256 596 34 680 644 ⏐ 서울특별시 1 410 748 1 408 417 470 3 429 218 3 460 252 6 879 149 ⏐ 종충동성성도서마용영관강 로 구 67 740 67 599 164 470 169 859 333 440 ⏐ 142 919 141 786 281 533
