계열,판,쪽,표제목,장,블록,지역,매칭,열순번,x위치,원문,값,신뢰도,플래그,행원문
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,전국,ko,0,0.1806,5 864 330 5 857 861 31 469 132 31438 768 15 762 854 15 675 914 30 364 16 069 4 442 961 4 369 359 73 602,586433058578613146913231438768157628541567591430364160694442961436935973602,1.0,과병합의심,전국 5 864 330 5 857 861 31 469 132 31438 768 15 762 854 15 675 914 30 364 16 069 4 442 961 4 369 359 73 602
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,서울,ko,0,0.1807,1 097 432 1 095 223 5 536 377 5 525 884 2 756 572 2 769 312 10 493 5 608,109743210952235536377552588427565722769312104935608,0.5,과병합의심,서울특별시 Whole country 1 097 432 1 095 223 5 536 377 5 525 884 2 756 572 2 769 312 10 493 5 608 596 754 586 201 10 553
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,서울,ko,1,0.7597,596 754,596754,1.0,,서울특별시 Whole country 1 097 432 1 095 223 5 536 377 5 525 884 2 756 572 2 769 312 10 493 5 608 596 754 586 201 10 553
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,서울,ko,2,0.8316,586 201 10 553,58620110553,0.5,과병합의심,서울특별시 Whole country 1 097 432 1 095 223 5 536 377 5 525 884 2 756 572 2 769 312 10 493 5 608 596 754 586 201 10 553
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,부산,ko,0,0.1928,371 940,371940,0.5,,부 산시 371 940 371 295 1 880 710 1 877 213 939 530 937 683 3 497 1 826 212 568 207 410 5 158
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,부산,ko,1,0.269,371 295 1 880 710 1 877 213,37129518807101877213,1.0,과병합의심,부 산시 371 940 371 295 1 880 710 1 877 213 939 530 937 683 3 497 1 826 212 568 207 410 5 158
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,부산,ko,2,0.501,939 530,939530,1.0,,부 산시 371 940 371 295 1 880 710 1 877 213 939 530 937 683 3 497 1 826 212 568 207 410 5 158
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,부산,ko,3,0.5749,937 683,937683,1.0,,부 산시 371 940 371 295 1 880 710 1 877 213 939 530 937 683 3 497 1 826 212 568 207 410 5 158
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,부산,ko,4,0.6427,3 497,3497,0.5,,부 산시 371 940 371 295 1 880 710 1 877 213 939 530 937 683 3 497 1 826 212 568 207 410 5 158
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,부산,ko,5,0.7002,1 826,1826,0.5,,부 산시 371 940 371 295 1 880 710 1 877 213 939 530 937 683 3 497 1 826 212 568 207 410 5 158
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,부산,ko,6,0.7598,212 568,212568,1.0,,부 산시 371 940 371 295 1 880 710 1 877 213 939 530 937 683 3 497 1 826 212 568 207 410 5 158
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,부산,ko,7,0.8275,207 410 5 158,2074105158,1.0,과병합의심,부 산시 371 940 371 295 1 880 710 1 877 213 939 530 937 683 3 497 1 826 212 568 207 410 5 158
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,부산,en,0,0.193,641 290,641290,0.5,,Busan City 경기도 641 290 640 293 3 358 105 3 353 457 1 681 993 1 671 464 4 648 2 440 482 584 474 112 8 472
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,부산,en,1,0.2711,640 293 3 358 105 3 353 457 1 681 993 1 671 464,6402933358105335345716819931671464,0.5,과병합의심,Busan City 경기도 641 290 640 293 3 358 105 3 353 457 1 681 993 1 671 464 4 648 2 440 482 584 474 112 8 472
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,부산,en,2,0.6427,4 648 2 440,46482440,0.3,저신뢰,Busan City 경기도 641 290 640 293 3 358 105 3 353 457 1 681 993 1 671 464 4 648 2 440 482 584 474 112 8 472
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,부산,en,3,0.7598,482 584,482584,1.0,,Busan City 경기도 641 290 640 293 3 358 105 3 353 457 1 681 993 1 671 464 4 648 2 440 482 584 474 112 8 472
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,부산,en,4,0.8275,474 112 8 472,4741128472,0.5,과병합의심,Busan City 경기도 641 290 640 293 3 358 105 3 353 457 1 681 993 1 671 464 4 648 2 440 482 584 474 112 8 472
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,충북,ko,0,0.4987,753 158,753158,1.0,,충청북도 261 983 1 481 566 | 480 678 753 158 727 520 888 466 228 295 223 691 4 604
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,충북,ko,1,0.5729,727 520,727520,0.5,,충청북도 261 983 1 481 566 | 480 678 753 158 727 520 888 466 228 295 223 691 4 604
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,충북,ko,2,0.6571,888,888,1.0,,충청북도 261 983 1 481 566 | 480 678 753 158 727 520 888 466 228 295 223 691 4 604
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,충북,ko,3,0.7125,466,466,1.0,,충청북도 261 983 1 481 566 | 480 678 753 158 727 520 888 466 228 295 223 691 4 604
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,충북,ko,4,0.7577,228 295,228295,0.5,,충청북도 261 983 1 481 566 | 480 678 753 158 727 520 888 466 228 295 223 691 4 604
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,충북,ko,5,0.8296,223 691 4 604,2236914604,1.0,과병합의심,충청북도 261 983 1 481 566 | 480 678 753 158 727 520 888 466 228 295 223 691 4 604
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,충남,ko,0,0.2711,499 831 2 860 690 2 858 674,49983128606902858674,1.0,과병합의심,ChungcheongBugDo 충청남도 499 831 2 860 690 2 858 674 1 443 668 1 415 006 2016 1 024 432 651 426 543 6 108
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,충남,ko,1,0.4887,1 443 668 1 415 006,14436681415006,0.5,과병합의심,ChungcheongBugDo 충청남도 499 831 2 860 690 2 858 674 1 443 668 1 415 006 2016 1 024 432 651 426 543 6 108
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,충남,ko,2,0.6426,2016 1 024,20161024,0.3,저신뢰,ChungcheongBugDo 충청남도 499 831 2 860 690 2 858 674 1 443 668 1 415 006 2016 1 024 432 651 426 543 6 108
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,충남,ko,3,0.7598,432 651,432651,1.0,,ChungcheongBugDo 충청남도 499 831 2 860 690 2 858 674 1 443 668 1 415 006 2016 1 024 432 651 426 543 6 108
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,충남,ko,4,0.8296,426 543,426543,1.0,,ChungcheongBugDo 충청남도 499 831 2 860 690 2 858 674 1 443 668 1 415 006 2016 1 024 432 651 426 543 6 108
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,충남,ko,5,0.8953,6 108,6108,1.0,,ChungcheongBugDo 충청남도 499 831 2 860 690 2 858 674 1 443 668 1 415 006 2016 1 024 432 651 426 543 6 108
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,전북,ko,0,0.271,427 004 2 434 522,4270042434522,0.5,과병합의심,전라북도 427 004 2 434 522 2 432 861 1 215 189 1 217 672 1 661 863 365 531 360 110 5 421
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,전북,ko,1,0.4107,2 432 861,2432861,1.0,,전라북도 427 004 2 434 522 2 432 861 1 215 189 1 217 672 1 661 863 365 531 360 110 5 421
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,전북,ko,2,0.4887,1 215 189 1 217 672,12151891217672,1.0,과병합의심,전라북도 427 004 2 434 522 2 432 861 1 215 189 1 217 672 1 661 863 365 531 360 110 5 421
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,전북,ko,3,0.6407,1 661,1661,1.0,,전라북도 427 004 2 434 522 2 432 861 1 215 189 1 217 672 1 661 863 365 531 360 110 5 421
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,전북,ko,4,0.7105,863,863,1.0,,전라북도 427 004 2 434 522 2 432 861 1 215 189 1 217 672 1 661 863 365 531 360 110 5 421
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,전북,ko,5,0.7598,365 531,365531,1.0,,전라북도 427 004 2 434 522 2 432 861 1 215 189 1 217 672 1 661 863 365 531 360 110 5 421
주택,1972,44,13. 시ㆍ도별 가구ㆍ인구 및 주택,III. 인구,전체,전북,ko,6,0.8294,360 110 5 421,3601105421,1.0,과병합의심,전라북도 427 004 2 434 522 2 432 861 1 215 189 1 217 672 1 661 863 365 531 360 110 5 421
