계열,판,쪽,표제목,장,블록,지역,매칭,열순번,x위치,원문,값,신뢰도,플래그,행원문
지가,1996,495,13. 시도별 지가변동률(평균),XIV. 물가 및 가계,1989 3197,서울,col-en,0,0.5729,3354,3354,0.5,전치·패널2,[전치] 13. 시도별 지가 변동률 (평균) | 1989 3197
지가,1996,495,13. 시도별 지가변동률(평균),XIV. 물가 및 가계,1989 3197,부산,col-en,0,0.6407,17 49,1749,0.5,전치·패널2,[전치] 13. 시도별 지가 변동률 (평균) | 1989 3197
지가,1996,495,13. 시도별 지가변동률(평균),XIV. 물가 및 가계,1989 3197,대구,col-en,0,0.7056,35 15,3515,1.0,전치·패널2,[전치] 13. 시도별 지가 변동률 (평균) | 1989 3197
지가,1996,495,13. 시도별 지가변동률(평균),XIV. 물가 및 가계,1989 3197,광주,col-en,0,0.8409,42 99,4299,0.5,전치·패널2,[전치] 13. 시도별 지가 변동률 (평균) | 1989 3197
지가,1996,495,13. 시도별 지가변동률(평균),XIV. 물가 및 가계,1989 3197,대전,col-en,0,0.9107,2083,2083,0.5,전치·패널2,[전치] 13. 시도별 지가 변동률 (평균) | 1989 3197
지가,1996,495,13. 시도별 지가변동률(평균),XIV. 물가 및 가계,1990 20 58,서울,col-en,0,0.5729,3118,3118,1.0,전치·패널2,[전치] 13. 시도별 지가 변동률 (평균) | 1990 20 58
지가,1996,495,13. 시도별 지가변동률(평균),XIV. 물가 및 가계,1990 20 58,부산,col-en,0,0.6407,1582,1582,0.3,전치·패널2|저신뢰,[전치] 13. 시도별 지가 변동률 (평균) | 1990 20 58
지가,1996,495,13. 시도별 지가변동률(평균),XIV. 물가 및 가계,1990 20 58,대구,col-en,0,0.7056,27 42,2742,0.3,전치·패널2|저신뢰,[전치] 13. 시도별 지가 변동률 (평균) | 1990 20 58
지가,1996,495,13. 시도별 지가변동률(평균),XIV. 물가 및 가계,1990 20 58,광주,col-en,0,0.8409,22 43,2243,0.5,전치·패널2,[전치] 13. 시도별 지가 변동률 (평균) | 1990 20 58
지가,1996,495,13. 시도별 지가변동률(평균),XIV. 물가 및 가계,1990 20 58,대전,col-en,0,0.9107,1789,1789,1.0,전치·패널2,[전치] 13. 시도별 지가 변동률 (평균) | 1990 20 58
지가,1996,495,13. 시도별 지가변동률(평균),XIV. 물가 및 가계,1991 12 78,서울,col-en,0,0.5729,11 15,1115,1.0,전치·패널2,[전치] 13. 시도별 지가 변동률 (평균) | 1991 12 78
지가,1996,495,13. 시도별 지가변동률(평균),XIV. 물가 및 가계,1991 12 78,부산,col-en,0,0.6407,14 69,1469,0.5,전치·패널2,[전치] 13. 시도별 지가 변동률 (평균) | 1991 12 78
지가,1996,495,13. 시도별 지가변동률(평균),XIV. 물가 및 가계,1991 12 78,대구,col-en,0,0.7056,1374,1374,0.5,전치·패널2,[전치] 13. 시도별 지가 변동률 (평균) | 1991 12 78
지가,1996,495,13. 시도별 지가변동률(평균),XIV. 물가 및 가계,1991 12 78,광주,col-en,0,0.8409,16 50,1650,0.5,전치·패널2,[전치] 13. 시도별 지가 변동률 (평균) | 1991 12 78
지가,1996,495,13. 시도별 지가변동률(평균),XIV. 물가 및 가계,1991 12 78,대전,col-en,0,0.9107,2325,2325,0.3,전치·패널2|저신뢰,[전치] 13. 시도별 지가 변동률 (평균) | 1991 12 78
지가,1996,495,13. 시도별 지가변동률(평균),XIV. 물가 및 가계,1992 -1 27,서울,col-en,0,0.5729,-278,-278,1.0,전치·패널2,[전치] 13. 시도별 지가 변동률 (평균) | 1992 -1 27
지가,1996,495,13. 시도별 지가변동률(평균),XIV. 물가 및 가계,1992 -1 27,부산,col-en,0,0.6407,-157,-157,0.5,전치·패널2,[전치] 13. 시도별 지가 변동률 (평균) | 1992 -1 27
지가,1996,495,13. 시도별 지가변동률(평균),XIV. 물가 및 가계,1992 -1 27,대구,col-en,0,0.7056,-261,-261,1.0,전치·패널2,[전치] 13. 시도별 지가 변동률 (평균) | 1992 -1 27
