계열,판,쪽,표제목,header
지가,1996,495,13. 시도별 지가변동률(평균),IN Prices and Housenold Economy - 467 ⏐ 13. 시도별 지가 변동률 (평균) ⏐ Floaung Rate of Land Price by Province (Average) ⏐ 단위 % Unit % ⏐ 전 국 대도시 시지역 군지역 서 울 부산 대구 인천 광 주 대 전 ⏐ Whole Metropoll All All ⏐ country tan citles cites countes Seoul Pusan Taegu옓 Inch'in Kwangju Taejon ⏐ 1989 3197 3354 17 49 35 15 46 72 42 99 2083 ⏐ 1990 20 58 3118 1582 27 42 29 14 22 43 1789 ⏐ 1991 12 78 11 15 14 69 1374 2281 16 50 2325 ⏐ 1992 -1 27 -278 -157 -261 ㅇ11 -033 -9 35 ⏐ 1993 -738 -872 -677 -?77 -6 62 -⑥ 36 -781
지가,1997,511,13. 시도별 지가 변동률(평균),XW Prices and Household Economy -483 ⏐ 13. 시도별 지가 변동률 (평균) ⏐ Floating Rate of Land Price by Province (Average) ⏐ 단위 % Uht % ⏐ 전 국 대도시 시지역 군지역 서 울 부산 대구 인천 광주 대전 ⏐ Entire Metropol- AI Al ⏐ nation tan clties Cttes countes Seoul Pusan Taegu Inch'on Kwangju Taejon ⏐ 1989 42 99 ⏐ 1990 22 43 ⏐ 1991 16 50 ⏐ 1992 -0 33 ⏐ 1993 -6 36
지가,1998,517,12. 시도별 지가 변동률(평균),XW. Prices and Household Economy - 479 ⏐ 12. 시도별 지가 변동률 (평균) ⏐ Floating Rate of Land Price by Province (Average) ⏐ 단위 : % In percentage ⏐ 전국 대도시 시지역 군지역 서울 부산 대구 인천 광주 대 전 ⏐ The Metropoli- Al! A!l ⏐ nation tan cities cities Counies Seoul Pusan Tacgu Inchon Kwangju Tacjon ⏐ 1990 20.58 26.97 15.88 12.20 31.18 15.82 27.42 29.14 22.43 17.89 ⏐ 1991 12.78 13.46 10.19 11.15 14.68 13.74 22.01 16.50 23.25 ⏐ 1992 -1.27 -2.59 0.18 0.46 -2.78 ~1.57 -2.61 0.11 -0.33 -9.35 ⏐ 1993 -7.38 -8.05 -6.58 -6.62 -8.72 -6.77 ㄱㄲ -6.62 -6.36 -7.81 ⏐ 1994 -0.57 -0.83 -0.35 -0.18 1.36 -0.35 0.87 0.07 -0.26 -0.59
지가,1999,517,14. 시도별 지가 변동률(평균)(1991-1998),XIV. Prices and Housenold Economy -515 ⏐ 14. 시도별 지가 변동률 (평균)(1991-1998) ⏐ Floating Rate of Land Price by Province (Average) ⏐ 단위 : % ⏐ Irn percentage ⏐ 전 국 대도시 시지역 군지역 서울 부산 대구 인천 광 주 대 전 ⏐ 구 분 ⏐ Classification The Metropoli- A!! A!l ⏐ nation tan cities cities Counties Seoul Pusan Taegu Inchon Kwangju Taejon ⏐ 1991 12.78 13.46 13.69 10.19 11.15 14.69 13.74 22.81 16.50 23.25 ⏐ 1992 -1.27 -2.59 0.18 0.46 -2.78 -1.57 -2.61 0.11 -0.33 -9.35 ⏐ 1993 -7.38 -8.05 -6.58 -6.62 -8.72 -6.77 -7.77 -6.62 -6.36 ~7.81
지가,2000,525,14. 시도별 지가 변동률(평균)(1992-1999),XV. Prices and Housenold Economy - 523 ⏐ 14. 시도별 지가 변동률 (평균)(1992-1999) ⏐ Floating Rate of Land Price by Province (Average) ⏐ 단위 : % In percentage ⏐ 전국 대도시 시지역 군지역 서울 부 산 대 구 인천 광주 대 전 ⏐ 구분 ⏐ Classtficaton The Metropol- A!! ⏐ nation tan clties cltres Counties Seoul Busan Daegu Inchoen Gwangju Daejeon ⏐ 1992 -1.27 -2.59 0.18 0.46 -2.78 -1.57 0.11 -0.33 -9.35 ⏐ 1993 -738 -8 05 -6.58 -6.62 -8.72\ 6.77 -6.62 -6.36 -7.81 ⏐ 1994 -0.57 -0.83 -0.35 -0.18 -1.36 -0.35 0.87 0.07 -0.26 -0.59 ⏐ 1995 0.55 0.34 0.67 1 08 0.18 1.27 0.58 1.44 -0.47
지가,2001,533,14. 시도별 지가 변동률(평균)(1993-2000),XIV. Prices and Household Economy - 529 ⏐ 14. 시도별 지가 변동률 (평균)(1993-2000) ⏐ Fluctuation Rate of Land Price by Province (Average) ⏐ 단위 % In percen tage늉 ⏐ 전국 대도시 중소도시 군지역 서울 부산 대구 인천 광 주 대 전 ⏐ 구분 ⏐ Classification The Metropoli~ All A!l ⏐ nation tan cities cities counties Seoul Busan Daegu Inchoen Gwangju Daejeon ⏐ 1993 -7.38 -8.05 -6.58 -6.62 -8.72 -6.77 -7.ㄲ -6.62 -6.36 -7.81 ⏐ 1994 -0.57 -0.83 -0.35 -0.18 -1.36 -0.35 0.87 0.07 -0.59 ⏐ 1995 0.55 0.34 0.67 1.08 0.18 0.14 1.?7 0.58 1.44 -0.47 ⏐ 1996 0.95 1.12 0.98 0.94 0.40 0.78 0.16
지가,2002,543,22. 시도별 지가 변동률(평균)(1994~2001),XIV. Prices and Household Economy -541 ⏐ 22. 시도별 지가 변동률 (평균)(1994~2001) ⏐ Fluctuation Rate of Land Price by Province (Average) ⏐ 단위 : % In percentage ⏐ 전국 대도시 시지역 군지역 서울 부 산 대구 인천 광주 대 전 ⏐ 구 분 ⏐ Classification The Metropoli-! All Al! ⏐ nation tan cities cities counties Seoul Busan Daegui Inchoen Cwangju Dacjeon ⏐ 1994 -0.57 -0.83 -0.35 -0.18 -1.36 -0.35 0.87 0.07 -0.26 -0.59 ⏐ 1995 0.55 0.34 0.67 1.08 0.18 0.14 1.27 0.58 1.44 -0.47 ⏐ 1996 0.95 0.84 1.12 0.98 0.94 0.40 1.09 0.78 1.16 0.16 ⏐ 1997 0.31 0.02 0.68 0.81 0.29 -0.90 -0.71 0.28 0.67 0.12
지가,2003,583,22. 시도별 지가변동률(평균),"XII. Prices and Household Economy - 581 ⏐ 22. 시도별 지가 변동률(평균) ⏐ Fluctuation Rate of Land Price by Province (Average) ⏐ 단위 : % In percentage ⏐ 전국 대도시 시지역 군지 역 서 울 부 산 대 구 인천 광 주 대 전 ⏐ Metro. ⏐ The nation cities IAll cities All counties Seoul Busan Daegu Inchonen Gwangju얧 Daejeon ⏐ 1996 0.95 0.84 1.12 0.98 0.94 0.40 1.09 0.78 1.16 0.16 ⏐ 1997 0.31 0.02 0.68 0.81 0.29 -0.90 0.?1 0.28 0.67 0.12 ⏐ 1998 -13.60 -15.33 -12.15 -8.85 -16.25 -16.52 -15.24 -13.79 -10.25 -8.36 ⏐ 1999 2.94 2.26 3,50 4.59 2.66 1.24 1.93 3.51 1.30 0.38 ⏐ 2000 0.67 +.09 1.33 1.73 0.05 -.53 -1.05 1.0? +.31 -0.24"
지가,2004,646,22. 시도별 지가 변동률(평균),642 - V. 건설 및 주택 ⏐ 22. 시도별 지가 변동률(평균) ⏐ Fluctuation Rate of Land Price by Province (Average) ⏐ 단위 : % In percentage얧 ⏐ 전 국 대도시 시지역 군지역 서울 부 산 대 구 인천 광 주대 전 ⏐ The nation Metro. cities All cities All counties Seoul Busan Daegu Incheon Gwangju Daejeon ⏐ 1997 0.31 0. 02 0. 68 0.81 0.29 -0. 90 -0.거1 0. 28 0.67 0. 12 ⏐ 1998 - 13. 60 -15.33 - 12. 15 - 8. 85 - 16. 25 - 16. 52 - 15. 24 - 13.79 - 10. 25 -8.36 ⏐ 1999 2.94 2.26 3.50 4.59 2.66 1.24 1.93 3.51 1.30 0.38 ⏐ 2000 0.67 -0.09 1.49 1.73 0.05 -0. 53 -1.05 1. 07 -0. 31 -0.24 ⏐ 2001 1.32 1.36 1. 53 0.49 1.89 0. 49 0.42 1.ㄲ -0. 37 1.00 ⏐ 2002 8. 98 10. 79 7.84 3.20 15.81 3.28 2.09 11. 51 1. 03 3.24
지가,2005,664,22. 시도별 지가 변동률(평균),662 - XIII. 물가 및 가계 ⏐ 22. 시도별 지가 변동률(평균) ⏐ Fluctuation Rate of Land Price by Province (Average) ⏐ 단위 : % In percentage얧 ⏐ 전국 대도시 시지역 군지역 서 울 부산 대 구 인천 광주대전 ⏐ Metro. ⏐ The nation cities All cities All counties Seoul Busan Daegu Incheon Gwangju Daejeon ⏐ 1998 - 13. 60 - 15.33 - 12. 15 - 8. 85 - 16.25 -16. 52 - 15. 24 - 13. 79 _ 10. 25 - 8. 36 ⏐ 1999 2.94 2.26 3.50 4. 59 2.66 1.24 1. 93 3.51 1. 30 0. 38 ⏐ 2000 0.67 -0.09 1.49 1.73 0.05 - 0. 53 - 1. 05 1. 07 - 0. 31 -0.24 ⏐ 2001 1. 32 1.36 1.53 0. 49 1.89 0. 49 0. 42 1.77 -0. 37 1.00 ⏐ 2002 8. 98 10. 79 7.84 3.20 15.81 3.28 2. 09 11.51 1. 03 3.24
