series,edition,page,table,chapter,block,region,matched_by,col_idx,x,raw,value,conf,flag,row_text
지방세,1961,354,"296. 특별시, 도별일반회계 세입세출액",XXIII. 지방자치단체재정,전체,서울,ko,0,0.4044,14753 317,14753317,0.5,,서울 #진뼈 Seoul Special City 14753 317 13 505 919 91.5 14 753 317 12 718 880 86.2
지방세,1961,354,"296. 특별시, 도별일반회계 세입세출액",XXIII. 지방자치단체재정,전체,서울,ko,1,0.499,13 505 919,13505919,0.5,,서울 #진뼈 Seoul Special City 14753 317 13 505 919 91.5 14 753 317 12 718 880 86.2
지방세,1961,354,"296. 특별시, 도별일반회계 세입세출액",XXIII. 지방자치단체재정,전체,서울,ko,2,0.6283,91.5,91.5,1.0,,서울 #진뼈 Seoul Special City 14753 317 13 505 919 91.5 14 753 317 12 718 880 86.2
지방세,1961,354,"296. 특별시, 도별일반회계 세입세출액",XXIII. 지방자치단체재정,전체,서울,ko,3,0.694,14 753 317,14753317,1.0,,서울 #진뼈 Seoul Special City 14753 317 13 505 919 91.5 14 753 317 12 718 880 86.2
지방세,1961,354,"296. 특별시, 도별일반회계 세입세출액",XXIII. 지방자치단체재정,전체,서울,ko,4,0.7844,12 718 880,12718880,1.0,,서울 #진뼈 Seoul Special City 14753 317 13 505 919 91.5 14 753 317 12 718 880 86.2
지방세,1961,354,"296. 특별시, 도별일반회계 세입세출액",XXIII. 지방자치단체재정,전체,서울,ko,5,0.9158,86.2,86.2,1.0,,서울 #진뼈 Seoul Special City 14753 317 13 505 919 91.5 14 753 317 12 718 880 86.2
지방세,1961,354,"296. 특별시, 도별일반회계 세입세출액",XXIII. 지방자치단체재정,전체,전남,en,0,0.4045,13 661 672,13661672,1.0,,Jeonla-nam-do 13 661 672 12 981 449 95.0 13661 672 12 795 479 93.6
지방세,1961,354,"296. 특별시, 도별일반회계 세입세출액",XXIII. 지방자치단체재정,전체,전남,en,1,0.499,12 981 449,12981449,1.0,,Jeonla-nam-do 13 661 672 12 981 449 95.0 13661 672 12 795 479 93.6
지방세,1961,354,"296. 특별시, 도별일반회계 세입세출액",XXIII. 지방자치단체재정,전체,전남,en,2,0.6283,95.0,95.0,1.0,,Jeonla-nam-do 13 661 672 12 981 449 95.0 13661 672 12 795 479 93.6
지방세,1961,354,"296. 특별시, 도별일반회계 세입세출액",XXIII. 지방자치단체재정,전체,전남,en,3,0.6919,13661 672,13661672,1.0,,Jeonla-nam-do 13 661 672 12 981 449 95.0 13661 672 12 795 479 93.6
지방세,1961,354,"296. 특별시, 도별일반회계 세입세출액",XXIII. 지방자치단체재정,전체,전남,en,4,0.7822,12 795 479,12795479,0.5,,Jeonla-nam-do 13 661 672 12 981 449 95.0 13661 672 12 795 479 93.6
지방세,1961,354,"296. 특별시, 도별일반회계 세입세출액",XXIII. 지방자치단체재정,전체,전남,en,5,0.9158,93.6,93.6,0.5,,Jeonla-nam-do 13 661 672 12 981 449 95.0 13661 672 12 795 479 93.6
지방세,1961,354,"296. 특별시, 도별일반회계 세입세출액",XXIII. 지방자치단체재정,전체,전남,en,0,0.4086,1 654 570,1654570,1.0,,jeonla-nam-do 1 654 570 1 405 756 85.0 1 654 570 81.9
지방세,1961,354,"296. 특별시, 도별일반회계 세입세출액",XXIII. 지방자치단체재정,전체,전남,en,1,0.499,1 405 756,1405756,0.3,저신뢰,jeonla-nam-do 1 654 570 1 405 756 85.0 1 654 570 81.9
지방세,1961,354,"296. 특별시, 도별일반회계 세입세출액",XXIII. 지방자치단체재정,전체,전남,en,2,0.6242,85.0,85.0,1.0,,jeonla-nam-do 1 654 570 1 405 756 85.0 1 654 570 81.9
지방세,1961,354,"296. 특별시, 도별일반회계 세입세출액",XXIII. 지방자치단체재정,전체,전남,en,3,0.6982,1 654 570,1654570,0.5,,jeonla-nam-do 1 654 570 1 405 756 85.0 1 654 570 81.9
지방세,1961,354,"296. 특별시, 도별일반회계 세입세출액",XXIII. 지방자치단체재정,전체,전남,en,4,0.9117,81.9,81.9,1.0,,jeonla-nam-do 1 654 570 1 405 756 85.0 1 654 570 81.9
지방세,1961,354,"297. 특별시, 도별특별회계 세입세출액",XXIII. 지방자치단체재정,전체,서울,ko,0,0.4044,14753 317,14753317,0.5,,서울 #진뼈 Seoul Special City 14753 317 13 505 919 91.5 14 753 317 12 718 880 86.2
지방세,1961,354,"297. 특별시, 도별특별회계 세입세출액",XXIII. 지방자치단체재정,전체,서울,ko,1,0.499,13 505 919,13505919,0.5,,서울 #진뼈 Seoul Special City 14753 317 13 505 919 91.5 14 753 317 12 718 880 86.2
지방세,1961,354,"297. 특별시, 도별특별회계 세입세출액",XXIII. 지방자치단체재정,전체,서울,ko,2,0.6283,91.5,91.5,1.0,,서울 #진뼈 Seoul Special City 14753 317 13 505 919 91.5 14 753 317 12 718 880 86.2
지방세,1961,354,"297. 특별시, 도별특별회계 세입세출액",XXIII. 지방자치단체재정,전체,서울,ko,3,0.694,14 753 317,14753317,1.0,,서울 #진뼈 Seoul Special City 14753 317 13 505 919 91.5 14 753 317 12 718 880 86.2
지방세,1961,354,"297. 특별시, 도별특별회계 세입세출액",XXIII. 지방자치단체재정,전체,서울,ko,4,0.7844,12 718 880,12718880,1.0,,서울 #진뼈 Seoul Special City 14753 317 13 505 919 91.5 14 753 317 12 718 880 86.2
지방세,1961,354,"297. 특별시, 도별특별회계 세입세출액",XXIII. 지방자치단체재정,전체,서울,ko,5,0.9158,86.2,86.2,1.0,,서울 #진뼈 Seoul Special City 14753 317 13 505 919 91.5 14 753 317 12 718 880 86.2
지방세,1961,354,"297. 특별시, 도별특별회계 세입세출액",XXIII. 지방자치단체재정,전체,전남,en,0,0.4045,13 661 672,13661672,1.0,,Jeonla-nam-do 13 661 672 12 981 449 95.0 13661 672 12 795 479 93.6
지방세,1961,354,"297. 특별시, 도별특별회계 세입세출액",XXIII. 지방자치단체재정,전체,전남,en,1,0.499,12 981 449,12981449,1.0,,Jeonla-nam-do 13 661 672 12 981 449 95.0 13661 672 12 795 479 93.6
지방세,1961,354,"297. 특별시, 도별특별회계 세입세출액",XXIII. 지방자치단체재정,전체,전남,en,2,0.6283,95.0,95.0,1.0,,Jeonla-nam-do 13 661 672 12 981 449 95.0 13661 672 12 795 479 93.6
지방세,1961,354,"297. 특별시, 도별특별회계 세입세출액",XXIII. 지방자치단체재정,전체,전남,en,3,0.6919,13661 672,13661672,1.0,,Jeonla-nam-do 13 661 672 12 981 449 95.0 13661 672 12 795 479 93.6
지방세,1961,354,"297. 특별시, 도별특별회계 세입세출액",XXIII. 지방자치단체재정,전체,전남,en,4,0.7822,12 795 479,12795479,0.5,,Jeonla-nam-do 13 661 672 12 981 449 95.0 13661 672 12 795 479 93.6
지방세,1961,354,"297. 특별시, 도별특별회계 세입세출액",XXIII. 지방자치단체재정,전체,전남,en,5,0.9158,93.6,93.6,0.5,,Jeonla-nam-do 13 661 672 12 981 449 95.0 13661 672 12 795 479 93.6
지방세,1961,354,"297. 특별시, 도별특별회계 세입세출액",XXIII. 지방자치단체재정,전체,전남,en,0,0.4086,1 654 570,1654570,1.0,,jeonla-nam-do 1 654 570 1 405 756 85.0 1 654 570 81.9
지방세,1961,354,"297. 특별시, 도별특별회계 세입세출액",XXIII. 지방자치단체재정,전체,전남,en,1,0.499,1 405 756,1405756,0.3,저신뢰,jeonla-nam-do 1 654 570 1 405 756 85.0 1 654 570 81.9
지방세,1961,354,"297. 특별시, 도별특별회계 세입세출액",XXIII. 지방자치단체재정,전체,전남,en,2,0.6242,85.0,85.0,1.0,,jeonla-nam-do 1 654 570 1 405 756 85.0 1 654 570 81.9
지방세,1961,354,"297. 특별시, 도별특별회계 세입세출액",XXIII. 지방자치단체재정,전체,전남,en,3,0.6982,1 654 570,1654570,0.5,,jeonla-nam-do 1 654 570 1 405 756 85.0 1 654 570 81.9
지방세,1961,354,"297. 특별시, 도별특별회계 세입세출액",XXIII. 지방자치단체재정,전체,전남,en,4,0.9117,81.9,81.9,1.0,,jeonla-nam-do 1 654 570 1 405 756 85.0 1 654 570 81.9
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,서울,ko,0,0.3121,26 226,26226,0.5,,서울특별시 City of Soou 26 226 26 226 - - 73.0 7.6 - -
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,서울,ko,1,0.3942,26 226,26226,0.5,,서울특별시 City of Soou 26 226 26 226 - - 73.0 7.6 - -
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,서울,ko,2,0.6489,73.0,73.0,1.0,,서울특별시 City of Soou 26 226 26 226 - - 73.0 7.6 - -
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,서울,ko,3,0.7269,7.6,7.6,0.3,저신뢰,서울특별시 City of Soou 26 226 26 226 - - 73.0 7.6 - -
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,부산,ko,0,0.3203,6 266,6266,0.5,,부산시 Buscn Cmy 6 266 6 266 - - 17.4 18.3 - -
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,부산,ko,1,0.4025,6 266,6266,1.0,,부산시 Buscn Cmy 6 266 6 266 - - 17.4 18.3 - -
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,부산,ko,2,0.6489,17.4,17.4,1.0,,부산시 Buscn Cmy 6 266 6 266 - - 17.4 18.3 - -
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,부산,ko,3,0.7289,18.3,18.3,1.0,,부산시 Buscn Cmy 6 266 6 266 - - 17.4 18.3 - -
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,경기,ko,0,0.3327,306,306,1.0,,경기도 Gyeonggi Do 306 160 - 146 0.9 0.5 - 11.6
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,경기,ko,1,0.4148,160,160,1.0,,경기도 Gyeonggi Do 306 160 - 146 0.9 0.5 - 11.6
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,경기,ko,2,0.5749,146,146,1.0,,경기도 Gyeonggi Do 306 160 - 146 0.9 0.5 - 11.6
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,경기,ko,3,0.6571,0.9,0.9,1.0,,경기도 Gyeonggi Do 306 160 - 146 0.9 0.5 - 11.6
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,경기,ko,4,0.7372,0.5,0.5,1.0,,경기도 Gyeonggi Do 306 160 - 146 0.9 0.5 - 11.6
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,경기,ko,5,0.8891,11.6,11.6,1.0,,경기도 Gyeonggi Do 306 160 - 146 0.9 0.5 - 11.6
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,강원,ko,0,0.3409,42,42,1.0,,강원 도 Gongweon Do 42 21 21 - 0.1 0.1 4.7 -
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,강원,ko,1,0.4189,21,21,1.0,,강원 도 Gongweon Do 42 21 21 - 0.1 0.1 4.7 -
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,강원,ko,2,0.501,21,21,1.0,,강원 도 Gongweon Do 42 21 21 - 0.1 0.1 4.7 -
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,강원,ko,3,0.655,0.1,0.1,1.0,,강원 도 Gongweon Do 42 21 21 - 0.1 0.1 4.7 -
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,강원,ko,4,0.7351,0.1,0.1,1.0,,강원 도 Gongweon Do 42 21 21 - 0.1 0.1 4.7 -
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,강원,ko,5,0.8173,4.7,4.7,0.5,,강원 도 Gongweon Do 42 21 21 - 0.1 0.1 4.7 -
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,충북,ko,0,0.3203,1 919,1919,0.5,,충청북도 Chungcheorghug Do 1 919 959 3 957 5.3 28 ..7 76.3
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,충북,ko,1,0.4148,959,959,1.0,,충청북도 Chungcheorghug Do 1 919 959 3 957 5.3 28 ..7 76.3
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,충북,ko,2,0.5092,3,3,1.0,,충청북도 Chungcheorghug Do 1 919 959 3 957 5.3 28 ..7 76.3
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,충북,ko,3,0.577,957,957,1.0,,충청북도 Chungcheorghug Do 1 919 959 3 957 5.3 28 ..7 76.3
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,충북,ko,4,0.6571,5.3,5.3,0.3,저신뢰,충청북도 Chungcheorghug Do 1 919 959 3 957 5.3 28 ..7 76.3
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,충북,ko,5,0.7372,28,28,1.0,,충청북도 Chungcheorghug Do 1 919 959 3 957 5.3 28 ..7 76.3
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,충북,ko,6,0.8912,76.3,76.3,0.5,,충청북도 Chungcheorghug Do 1 919 959 3 957 5.3 28 ..7 76.3
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,충남,ko,0,0.3347,270,270,1.0,,충청남도 Chungcheongnam Do 270 135 3 98 0.8 0.4 8.4 7.8
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,충남,ko,1,0.4148,135,135,1.0,,충청남도 Chungcheongnam Do 270 135 3 98 0.8 0.4 8.4 7.8
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,충남,ko,2,0.501,3,3,0.3,저신뢰,충청남도 Chungcheongnam Do 270 135 3 98 0.8 0.4 8.4 7.8
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,충남,ko,3,0.5832,98,98,1.0,,충청남도 Chungcheongnam Do 270 135 3 98 0.8 0.4 8.4 7.8
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,충남,ko,4,0.6571,0.8,0.8,0.3,저신뢰,충청남도 Chungcheongnam Do 270 135 3 98 0.8 0.4 8.4 7.8
지방세,1970,493,340. 시도별 지방세징수,XXI. 재정,전체,충남,ko,5,0.7372,0.4,0.4,1.0,,충청남도 Chungcheongnam Do 270 135 3 98 0.8 0.4 8.4 7.8
