series,edition,page,table,header
학교,1976,404,234. 시ㆍ도별 학교 총괄,"402-교육 및 문화 ⏐ 234. 시 • 도별 학교총괄 -초• 중등교육 ⏐ 학 교교 실 학 급 재 학 생 교 원 , 기타직원 ⏐ Pupil or student Teacher ⏐ School Classroom | Class 계 Male| Femaie _Boih saxesl 계 남 여 iOthar staff ⏐ Both sexesl Male .Female ⏐ -- , -~ ⏐ 유 치 ⏐ 1요! 6666 2009요 00848 449 12 263 42] 457 ⏐ 468 12 329 ll!! 428 468 ⏐ 470 12 399 410 356 ⏐ 460 12 254 410 527"
학교,1977,360,225. 시ㆍ도별 학교총괄,360-교육 및 문화 ⏐ 225. 시 •도별 학교총괄 -초• 중등교육 ⏐ 학 교 교 실 학 급 재 교 원 사무직원 ⏐ Pupil or studernt Teacher ⏐ School Classroo m Class 남 여 계 님 여 Clerical ⏐ Both sexes Male옓 Female Both sexes Male Female sTaff ⏐ 유 치 원1 KINDERGARTENP) ⏐ 0000899999g 88067777777 078g 449 917 635 12 263 ! 579 421 1 158 457 ⏐ 468 822 663 12 329 1 651 428 1 223 ⏐ 470 877 634 1? 399 1 632 410 1 222 356 ⏐ 460 857 628 12 254 1 582 410 I 172 527 ⏐ 484 907 653 12 434 1 660 421 ! 239 518
학교,1978,364,225. 시ㆍ도별 학교총괄,"364-교육 및 문화 ⏐ 225. 시 • 도별 학교총괄 --초• 풍등교육 ⏐ 학 교 교 실"") 학 굽3) 학 생 교 원 사무적원 ⏐ Pupil or student Teacher ⏐ S chool Classroom Class .계제 남 여 계 남 Clerical ⏐ Both sexes, Male Female Both- sexes Male Female staff ⏐ 유 치 원1 KINDERGARTEN2) ⏐ 11--11 aaaaaa 666677 078901 449 917 635 1 579 421 457 ⏐ 468 822 663 1 651 428 468 ⏐ 470 877 634 1 632 410 ~ 356 ⏐ 460 857 628 1 582 410 172 527 ⏐ 484 907 653 1 660 421 518"
학교,1980,356,226. 시ㆍ도별 학교총괄,356-교육 및 분화 ⏐ 226. 시 • 도별 학교총괄-초• 중등교육 ⏐ 학 교 교 실!) 학 급?) 재 학 생 교 원 사무직원 ⏐ Pupil or student Teacher Clerical ⏐ School Classroom Class 계 남 여 계 남 요 staff ⏐ Both sexes L Male Female Both sexes | Male Female ⏐ 치 원) KINDERGARTEN) ⏐ 634 22 327 12 399 9 928 ! 632 410 356 ⏐ 628 21 658 12 254 9 404 1 582 410 527 ⏐ 653 22 271 12 434 9 837 1 660 42] 518 ⏐ 1338 664 22 207 12 402 9 805 1 694 433 594 ⏐ 680 22 466 12 688 9 778 1 889 452
학교,1981,372,2. 시ㆍ도별 학교총괄,"372- X. 교교육 문화 ⏐ 2. 시•도별 학교총괄 - 초.• 중등교육 ⏐ 학 교 교 실"" 학 급리 재 학 생 교 원 사무직원 ⏐ Pupil or stident Teacher ⏐ 계 남 계 남 Clerical ⏐ School Classroom Class Both sexes Male Both sexes Male staff ⏐ 유치원 KINDERGARTEN"" ⏐ 949 하가 해을 아하나 해요가 파있만 왜유을 해람을 가상가 동공증영었을임품로 육부스 중목속유주유 성유을 복수 ⏐ :97C 4IC 감의함수님있업님포험을 힘도을 통조을 보요을 보업의 ⏐ 1511 421 ⏐ 433 ⏐ 15; :97"
학교,1982,372,2. 시ㆍ도별 학교총괄,"372-K. 교육 문화 ⏐ 2. 시 • 도별 학교총괄 -초•중등교육 ⏐ 학 교 교 실 1) 학 즙2) 재 학 생 교 원 사무직원 ⏐ Pupal or student Teacher ⏐ 계 남 계 남 Clerical ⏐ School Classroom Class Both sexes얧 Male Both sexes옓 Male staff ⏐ 유치원 1 KINDERGARTEN"" ⏐ 29 7 0 484 22 271 22 434 %8 ⏐ 1 9 7 512 22 207 22 402 69 ⏐ 1 9 7 2 $31 22 466 12 688 1 800 ⏐ 9 3 548 25 339 14 327 3 233 ⏐ 9 7 4 588 27 774 15 597"
학교,1983,372,2. 시ㆍ도별 학교총괄,372 -kI 교육 문화 ⏐ 2. 시 • 도별 학교총괄 - 초• 중등교육 ⏐ 학 교 교 실1학 급? 재 학 생 교 원 사무직원 ⏐ Pupil or student Teacher ⏐ 계 남 계 남 Clercal ⏐ School Classroom Class Both sexes Male얧 Both sexes Male staff ⏐ 치 원 ⏐ 영양법 영남을임되는 포업을 포회을일료을 업업은 교동을 $33 ⏐ 2 03 $52 ⏐ 3 1+ 327 464 ⏐ 12 597 473 ⏐ 7 5 7 33 464
학교,1984,364,2. 시ㆍ도별 학교총괄,364-X. 교육 문화 ⏐ 2. 시 • 도별 학교총괄 - 초• 중등교육 ⏐ 학 교 .교 실1학 급2) 재 학 생 교 원 사무직원 ⏐ Pupil or student Teacher ⏐ 계 남 계 남 Clerical ⏐ School Classroom Class Both sexes Male Both sexes Male staff ⏐ 유 치 원 KINDERGARTEN ⏐ f33! 22 466 12 688 452 ⏐ 25 335 14 327 464 ⏐ 27 774 15 5$7 473 ⏐ 1975 32 032 17 882 4i4 ⏐ 37 197 20 776 434
학교,1985,366,2. 시ㆍ도별 학교총괄,366- X. 교육 문화 ⏐ 2. 시 • 도별 학교총괄 -초•중등교육 ⏐ 학 교 교 실1)학 급& 재 학 생 교 원 사무직원 ⏐ Pupil or stadent Teacher ⏐ 계 남 계 남 Clerical ⏐ School Classroom Class Both sexes Male Both sexes Male staff ⏐ 유 치 원 KINDERGARTEN ⏐ 19 73 14 327 1 880 721 ⏐ 1974 15 597 2 013 748 ⏐ 197 5 17 882 2 153 863 ⏐ 1976 20 776 2 288 868 ⏐ 1977 23 520 2 415 2 000
학교,1986,374,2. 시ㆍ도별 학교총괄,374- 세. 교육 문화 ⏐ 2. 시 • 도별 학교총괄 - 초•중등교육 ⏐ 학 교 . 교 실1)| 학 급2)재 학 생 교 원 사무직원 ⏐ Pupil or student Teacher ⏐ 남 계 님 Clerical ⏐ School Cla.ssroom Class Both sexes / Male | Both sexes Male staff ⏐ 유 치 원 KINDERGARTEN ⏐ ㅰㅢ 9 4 물요한 표동한 일모을 보금 ⏐ ? 17 882 ⏐ 1 8 7 6 ⏐ 9 7 ⏐ 9 ㆁ& 2
