series,edition,page,table,chapter,block,region,matched_by,col_idx,x,raw,value,conf,flag,row_text
학교,1976,404,234. 시ㆍ도별 학교 총괄,XIX. 교육 및 문화,전체,부산,ko,0,0.4065,4 259 324 476,4259324476,0.5,과병합의심,부 산 4 259 324 476 170 014 154 462)
학교,1976,404,234. 시ㆍ도별 학교 총괄,XIX. 교육 및 문화,전체,부산,ko,1,0.5379,170 014,170014,1.0,,부 산 4 259 324 476 170 014 154 462)
학교,1976,404,234. 시ㆍ도별 학교 총괄,XIX. 교육 및 문화,전체,부산,ko,2,0.6139,154 462),154462,0.5,,부 산 4 259 324 476 170 014 154 462)
학교,1976,404,234. 시ㆍ도별 학교 총괄,XIX. 교육 및 문화,전체,전남,ko,0,0.4025,14 495 767 573,14495767573,1.0,과병합의심,전라남 도 14 495 767 573 393 789 •373 784
학교,1976,404,234. 시ㆍ도별 학교 총괄,XIX. 교육 및 문화,전체,전남,ko,1,0.54,393 789,393789,1.0,,전라남 도 14 495 767 573 393 789 •373 784
학교,1976,404,234. 시ㆍ도별 학교 총괄,XIX. 교육 및 문화,전체,경남,ko,0,0.4004,10 850,10850,0.3,저신뢰,경상남 도 10 850 544 825 279 C31 265 794
학교,1976,404,234. 시ㆍ도별 학교 총괄,XIX. 교육 및 문화,전체,경남,ko,1,0.6119,265 794,265794,0.5,,경상남 도 10 850 544 825 279 C31 265 794
학교,1976,404,234. 시ㆍ도별 학교 총괄,XIX. 교육 및 문화,전체,제주,ko,0,0.4066,1 249,1249,0.3,저신뢰,제 주 도 1 249 72 180 36 852 35 328| 982 405
학교,1976,404,234. 시ㆍ도별 학교 총괄,XIX. 교육 및 문화,전체,제주,ko,1,0.4723,72 180,72180,1.0,,제 주 도 1 249 72 180 36 852 35 328| 982 405
학교,1976,404,234. 시ㆍ도별 학교 총괄,XIX. 교육 및 문화,전체,제주,ko,2,0.5462,36 852,36852,0.5,,제 주 도 1 249 72 180 36 852 35 328| 982 405
학교,1976,404,234. 시ㆍ도별 학교 총괄,XIX. 교육 및 문화,전체,제주,ko,3,0.7864,982,982,1.0,,제 주 도 1 249 72 180 36 852 35 328| 982 405
학교,1976,404,234. 시ㆍ도별 학교 총괄,XIX. 교육 및 문화,전체,제주,ko,4,0.8583,405,405,0.3,저신뢰,제 주 도 1 249 72 180 36 852 35 328| 982 405
학교,1977,360,225. 시ㆍ도별 학교총괄,XII. 교육 및 문화,전체,부산,ko,0,0.2916,61,61,0.3,저신뢰,부 산시 61 192 118 2 456 242 38 204 124
학교,1977,360,225. 시ㆍ도별 학교총괄,XII. 교육 및 문화,전체,부산,ko,1,0.3511,192,192,1.0,,부 산시 61 192 118 2 456 242 38 204 124
학교,1977,360,225. 시ㆍ도별 학교총괄,XII. 교육 및 문화,전체,부산,ko,2,0.4189,118,118,1.0,,부 산시 61 192 118 2 456 242 38 204 124
학교,1977,360,225. 시ㆍ도별 학교총괄,XII. 교육 및 문화,전체,부산,ko,3,0.54,2 456,2456,0.5,,부 산시 61 192 118 2 456 242 38 204 124
학교,1977,360,225. 시ㆍ도별 학교총괄,XII. 교육 및 문화,전체,부산,ko,4,0.6858,242,242,1.0,,부 산시 61 192 118 2 456 242 38 204 124
